chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	1361507	1363167	+	643965	TMEM88B	149	7.59692401E-1	DAVIES_SUCCESS
chr1	1370902	1378262	+	64856	VWA1	138	7.63481898E-1	DAVIES_SUCCESS
chr1	1385068	1405538	+	219293	ATAD3C	145	7.79842909E-1	DAVIES_SUCCESS
chr1	1407163	1444689	+	83858	ATAD3B	155	8.60202849E-1	DAVIES_SUCCESS
chr1	1447522	1470067	+	55210	ATAD3A	113	8.86110277E-1	DAVIES_SUCCESS
chr1	1470157	1475740	-	339453	TMEM240	114	9.34564435E-1	DAVIES_SUCCESS
chr1	1477052	1510262	-	29101	SSU72	169	8.40483619E-1	DAVIES_SUCCESS
chr1	1533387	1535476	-	643988	C1orf233	146	7.99178688E-1	DAVIES_SUCCESS
chr1	1550794	1565990	+	142678	MIB2	164	8.00818212E-1	DAVIES_SUCCESS
chr1	1567559	1570030	+	8510	MMP23B	155	7.51355356E-1	DAVIES_SUCCESS
chr1	1571099	1655775	-	984	CDK11B	309	2.65799243E-1	DAVIES_SUCCESS
chr1	1590987	1677438	-	728661	SLC35E2B	304	2.2026187E-1	DAVIES_SUCCESS
chr1	1631377	1633247	+	8511	MMP23A	177	3.08269175E-1	DAVIES_SUCCESS
chr1	1634169	1655791	-	728642	CDK11A	224	1.88299684E-1	DAVIES_SUCCESS
chr1	1656276	1677438	-	9906	SLC35E2	215	1.42435355E-1	DAVIES_SUCCESS
chr1	1682670	1711508	-	65220	NADK	208	9.85991366E-2	DAVIES_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	320	1.29643859E-1	DAVIES_SUCCESS
chr1	1846265	1848733	+	163688	CALML6	235	2.10682551E-1	DAVIES_SUCCESS
chr1	1849028	1850740	-	339456	TMEM52	255	2.49184511E-1	DAVIES_SUCCESS
chr1	1884751	1935276	-	85452	KIAA1751	431	4.71767342E-1	DAVIES_SUCCESS
chr1	1950767	1962192	+	2563	GABRD	305	7.91179265E-1	DAVIES_SUCCESS
chr1	1981908	2116834	+	5590	PRKCZ	516	3.51328E-1	DAVIES_SUCCESS
chr1	2115898	2139172	-	199990	C1orf86	224	2.83694366E-1	DAVIES_SUCCESS
chr1	2160133	2241652	+	6497	SKI	453	8.16505478E-1	DAVIES_SUCCESS
chr1	2252695	2322993	-	79906	MORN1	512	7.97289938E-1	DAVIES_SUCCESS
chr1	2281852	2284100	-	100129534	LOC100129534	309	7.24253413E-1	DAVIES_SUCCESS
chr1	2323213	2336885	+	11079	RER1	337	7.90526075E-1	DAVIES_SUCCESS
chr1	2336240	2344010	-	5192	PEX10	307	7.50833965E-1	DAVIES_SUCCESS
chr1	2407753	2436969	+	9651	PLCH2	266	2.34954673E-1	DAVIES_SUCCESS
chr1	2439974	2458035	-	55229	PANK4	204	1.75720657E-1	DAVIES_SUCCESS
chr1	2460183	2461684	-	388585	HES5	154	1.21801235E-1	DAVIES_SUCCESS
chr1	2481358	2484284	-	115110	LOC115110	183	7.02200365E-2	DAVIES_SUCCESS
chr1	2486162	2488450	-	100133445	LOC100133445	192	6.72699602E-2	DAVIES_SUCCESS
chr1	2487804	2495267	+	8764	TNFRSF14	207	5.82386692E-2	DAVIES_SUCCESS
chr1	2517898	2522908	+	127281	FAM213B	197	6.00543422E-2	DAVIES_SUCCESS
chr1	2522080	2564481	-	79258	MMEL1	205	5.99197727E-2	DAVIES_SUCCESS
chr1	2572806	2706230	-	100287898	TTC34	213	5.64186912E-2	DAVIES_SUCCESS
chr1	2938045	2939467	+	140625	ACTRT2	272	2.90806798E-2	DAVIES_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	293	3.660175E-2	DAVIES_SUCCESS
chr1	2985741	3355185	+	63976	PRDM16	1263	2.61554957E-1	DAVIES_SUCCESS
chr1	3044538	3044599	+	100422968	MIR4251	302	4.61286391E-2	DAVIES_SUCCESS
chr1	3371146	3397677	+	27237	ARHGEF16	319	6.92191774E-1	DAVIES_SUCCESS
chr1	3404505	3528059	-	1953	MEGF6	532	6.89638239E-1	DAVIES_SUCCESS
chr1	3477259	3477354	-	693135	MIR551A	269	3.08331819E-1	DAVIES_SUCCESS
chr1	3541555	3546694	+	127262	TPRG1L	282	8.99759966E-1	DAVIES_SUCCESS
chr1	3547330	3566671	-	49856	WRAP73	321	8.54865672E-1	DAVIES_SUCCESS
chr1	3569128	3652765	+	7161	TP73	489	7.27456248E-1	DAVIES_SUCCESS
chr1	3652547	3663937	-	57212	TP73-AS1	305	4.42868236E-1	DAVIES_SUCCESS
chr1	3668964	3688209	+	148870	CCDC27	345	4.60782626E-1	DAVIES_SUCCESS
chr1	3689333	3692546	+	388588	SMIM1	313	4.29047588E-1	DAVIES_SUCCESS
chr1	3696783	3713068	-	57470	LRRC47	410	3.04518245E-1	DAVIES_SUCCESS
chr1	3728644	3773797	-	9731	CEP104	617	3.32903223E-1	DAVIES_SUCCESS
chr1	3773844	3801993	+	1677	DFFB	514	3.19527701E-1	DAVIES_SUCCESS
chr1	3805696	3816857	-	339448	C1orf174	375	4.02855388E-1	DAVIES_SUCCESS
chr1	3816967	3833879	+	100133612	LOC100133612	312	4.68232364E-1	DAVIES_SUCCESS
chr1	4000671	4012643	+	728716	LOC728716	194	3.2376962E-1	DAVIES_SUCCESS
chr1	4472110	4484744	+	284661	LOC284661	429	5.39327153E-1	DAVIES_SUCCESS
chr1	4715104	4843851	+	55966	AJAP1	746	4.79259255E-1	DAVIES_SUCCESS
chr1	5624130	5624203	+	100616489	MIR4417	275	8.45999056E-2	DAVIES_SUCCESS
chr1	5922731	5922801	-	100616421	MIR4689	276	9.03252086E-1	DAVIES_SUCCESS
chr1	5922869	6052533	-	261734	NPHP4	562	9.49473359E-1	DAVIES_SUCCESS
chr1	6052357	6161253	+	8514	KCNAB2	502	9.25751184E-1	DAVIES_SUCCESS
chr1	6161846	6240194	-	26038	CHD5	402	3.58300812E-1	DAVIES_SUCCESS
chr1	6245079	6259679	-	6146	RPL22	230	1.16156133E-1	DAVIES_SUCCESS
chr1	6266188	6281359	+	388591	RNF207	173	5.08849987E-2	DAVIES_SUCCESS
chr1	6281252	6296044	-	23463	ICMT	152	1.05696912E-1	DAVIES_SUCCESS
chr1	6304251	6305638	+	390992	HES3	131	2.11074739E-1	DAVIES_SUCCESS
chr1	6307405	6321035	-	387509	GPR153	152	2.94635476E-1	DAVIES_SUCCESS
chr1	6324331	6453826	-	11332	ACOT7	412	8.2773925E-1	DAVIES_SUCCESS
chr1	6472497	6484730	-	54626	HES2	239	9.69033154E-1	DAVIES_SUCCESS
chr1	6484847	6521004	+	83715	ESPN	281	9.6893637E-1	DAVIES_SUCCESS
chr1	6489893	6489956	-	100422975	MIR4252	215	9.74801376E-1	DAVIES_SUCCESS
chr1	6521213	6526255	-	8718	TNFRSF25	217	9.36026384E-1	DAVIES_SUCCESS
chr1	6526151	6580121	-	57449	PLEKHG5	347	3.96625354E-1	DAVIES_SUCCESS
chr1	6581406	6614658	-	79707	NOL9	263	2.23978797E-1	DAVIES_SUCCESS
chr1	6615337	6639817	+	80835	TAS1R1	241	2.18697027E-1	DAVIES_SUCCESS
chr1	6640055	6649340	+	3104	ZBTB48	189	2.39440434E-1	DAVIES_SUCCESS
chr1	6650778	6662929	-	9903	KLHL21	182	3.17977766E-1	DAVIES_SUCCESS
chr1	6673755	6684093	+	148479	PHF13	157	7.35360158E-1	DAVIES_SUCCESS
chr1	6684924	6695646	+	90326	THAP3	155	7.97129979E-1	DAVIES_SUCCESS
chr1	6694227	6761966	-	55735	DNAJC11	276	8.1470179E-1	DAVIES_SUCCESS
chr1	6845383	7829766	+	23261	CAMTA1	2309	5.41268856E-1	DAVIES_SUCCESS
chr1	7831328	7841492	+	9341	VAMP3	274	6.72218085E-1	DAVIES_SUCCESS
chr1	7844379	7905237	+	8863	PER3	487	7.56184873E-1	DAVIES_SUCCESS
chr1	7903142	7973294	-	10911	UTS2	436	8.99927567E-1	DAVIES_SUCCESS
chr1	7975930	8003225	-	3604	TNFRSF9	237	9.22385734E-1	DAVIES_SUCCESS
chr1	8021713	8045342	+	11315	PARK7	147	6.22957994E-1	DAVIES_SUCCESS
chr1	8071778	8086393	-	54206	ERRFI1	159	3.44457311E-1	DAVIES_SUCCESS
chr1	8384389	8404227	+	50651	SLC45A1	246	1.49355951E-1	DAVIES_SUCCESS
chr1	8412463	8877699	-	473	RERE	724	6.75366006E-1	DAVIES_SUCCESS
chr1	8921058	8939151	-	2023	ENO1	226	8.24542614E-1	DAVIES_SUCCESS
chr1	8938893	8939943	+	100505975	ENO1-AS1	210	8.14479101E-1	DAVIES_SUCCESS
chr1	9005892	9035148	+	765	CA6	356	2.53881816E-1	DAVIES_SUCCESS
chr1	9063358	9086404	-	155184	SLC2A7	299	2.89307674E-1	DAVIES_SUCCESS
chr1	9097004	9148510	-	6518	SLC2A5	364	5.86513506E-1	DAVIES_SUCCESS
chr1	9164475	9189229	-	80045	GPR157	270	8.86721814E-1	DAVIES_SUCCESS
chr1	9211726	9211836	-	407040	MIR34A	180	9.02729883E-1	DAVIES_SUCCESS
chr1	9294862	9331394	+	9563	H6PD	433	4.46159502E-1	DAVIES_SUCCESS
chr1	9352940	9429590	+	80176	SPSB1	521	5.70764999E-1	DAVIES_SUCCESS
chr1	9599527	9642831	+	84275	SLC25A33	148	6.92450938E-1	DAVIES_SUCCESS
chr1	9648931	9674935	+	199953	TMEM201	162	6.44591546E-1	DAVIES_SUCCESS
chr1	9711789	9789172	+	5293	PIK3CD	211	3.97443148E-1	DAVIES_SUCCESS
chr1	9712667	9714644	-	644997	C1orf200	160	3.52700786E-1	DAVIES_SUCCESS
chr1	9789078	9884550	-	22883	CLSTN1	205	5.28343738E-1	DAVIES_SUCCESS
chr1	9908333	9970316	-	56998	CTNNBIP1	192	6.46904407E-1	DAVIES_SUCCESS
chr1	9989775	10003427	-	84328	LZIC	118	5.28262978E-1	DAVIES_SUCCESS
chr1	10003485	10045556	+	64802	NMNAT1	141	4.59673217E-1	DAVIES_SUCCESS
chr1	10057254	10076078	+	116362	RBP7	90	4.13469255E-1	DAVIES_SUCCESS
chr1	10093040	10241296	+	10277	UBE4B	196	1.78781683E-1	DAVIES_SUCCESS
chr1	10270763	10441661	+	23095	KIF1B	417	1.68063305E-1	DAVIES_SUCCESS
chr1	10459084	10480201	+	5226	PGD	221	1.27459732E-1	DAVIES_SUCCESS
chr1	10490158	10512060	+	100526739	APITD1-CORT	216	4.0847195E-2	DAVIES_SUCCESS
chr1	10509775	10512060	+	1325	CORT	183	3.24899618E-2	DAVIES_SUCCESS
chr1	10520602	10532613	-	1676	DFFA	208	2.07467955E-2	DAVIES_SUCCESS
chr1	10535002	10690815	+	5195	PEX14	474	1.86679947E-2	DAVIES_SUCCESS
chr1	10696665	10856733	-	54897	CASZ1	436	5.44909166E-1	DAVIES_SUCCESS
chr1	11006529	11042094	-	148345	C1orf127	346	4.76234725E-1	DAVIES_SUCCESS
chr1	11072678	11085549	+	23435	TARDBP	217	1.8643514E-1	DAVIES_SUCCESS
chr1	11086579	11107296	-	10747	MASP2	184	1.57645702E-1	DAVIES_SUCCESS
chr1	11114648	11120091	-	6723	SRM	117	1.00741527E-1	DAVIES_SUCCESS
chr1	11126675	11159938	-	5394	EXOSC10	111	9.98415526E-2	DAVIES_SUCCESS
chr1	11166587	11322608	-	2475	MTOR	190	9.79647361E-2	DAVIES_SUCCESS
chr1	11203954	11209595	+	100873935	MTOR-AS1	42	7.68004655E-2	DAVIES_SUCCESS
chr1	11249345	11256038	+	10218	ANGPTL7	91	8.17748648E-2	DAVIES_SUCCESS
chr1	11333254	11348491	+	29914	UBIAD1	120	1.35928614E-1	DAVIES_SUCCESS
chr1	11539294	11597640	+	57540	PTCHD2	387	5.59256344E-1	DAVIES_SUCCESS
chr1	11708417	11714888	-	26232	FBXO2	243	9.70168247E-1	DAVIES_SUCCESS
chr1	11714431	11723384	+	93611	FBXO44	261	9.79906824E-1	DAVIES_SUCCESS
chr1	11724149	11734409	+	26270	FBXO6	257	9.76624774E-1	DAVIES_SUCCESS
chr1	11734536	11751678	-	10459	MAD2L2	266	9.51982727E-1	DAVIES_SUCCESS
chr1	11751780	11780336	+	374946	DRAXIN	307	7.4852493E-1	DAVIES_SUCCESS
chr1	11796141	11810828	+	57085	AGTRAP	355	8.27390279E-2	DAVIES_SUCCESS
chr1	11845786	11866160	-	4524	MTHFR	419	6.25976144E-2	DAVIES_SUCCESS
chr1	11866152	11903201	+	1185	CLCN6	475	9.33001488E-2	DAVIES_SUCCESS
chr1	11900375	11907674	+	100379251	NPPA-AS1	337	1.79262972E-1	DAVIES_SUCCESS
chr1	11905766	11907840	-	4878	NPPA	329	2.02524856E-1	DAVIES_SUCCESS
chr1	11917520	11918992	-	4879	NPPB	327	2.53431043E-1	DAVIES_SUCCESS
chr1	11979644	11986485	-	90231	KIAA2013	299	5.87974329E-1	DAVIES_SUCCESS
chr1	11994723	12035599	+	5351	PLOD1	346	4.83280007E-1	DAVIES_SUCCESS
chr1	12040237	12073572	+	9927	MFN2	263	2.36813741E-1	DAVIES_SUCCESS
chr1	12079298	12092106	+	60672	MIIP	199	1.261431E-1	DAVIES_SUCCESS
chr1	12123433	12204264	+	943	TNFRSF8	337	2.69958581E-1	DAVIES_SUCCESS
chr1	12227059	12269277	+	7133	TNFRSF1B	214	5.19386041E-1	DAVIES_SUCCESS
chr1	12251761	12251839	+	100616438	MIR4632	154	4.93167664E-1	DAVIES_SUCCESS
chr1	12290112	12572098	+	55187	VPS13D	385	4.69549846E-1	DAVIES_SUCCESS
chr1	12567299	12567451	+	677882	SNORA59B	148	5.02750424E-1	DAVIES_SUCCESS
chr1	12627938	12677820	-	9249	DHRS3	358	3.9590586E-1	DAVIES_SUCCESS
chr1	12704565	12727097	+	343066	AADACL4	219	3.87333198E-1	DAVIES_SUCCESS
chr1	12776117	12788726	+	126767	AADACL3	238	7.63210352E-1	DAVIES_SUCCESS
chr1	12806162	12821102	+	93190	C1orf158	209	8.35663182E-1	DAVIES_SUCCESS
chr1	12834983	12838048	+	390999	PRAMEF12	155	8.44634131E-1	DAVIES_SUCCESS
chr1	12851545	12856777	+	65121	PRAMEF1	109	9.33651858E-1	DAVIES_SUCCESS
chr1	12884467	12891264	-	440560	PRAMEF11	58	9.99940588E-1	DAVIES_SUCCESS
chr1	12907235	12908237	-	649330	LOC649330	36	9.99929336E-1	DAVIES_SUCCESS
chr1	12907260	12908578	-	343069	HNRNPCL1	36	9.99929336E-1	DAVIES_SUCCESS
chr1	12916940	12921764	+	65122	PRAMEF2	25	9.99907559E-1	DAVIES_SUCCESS
chr1	12939032	12946025	-	400735	PRAMEF4	20	9.99609882E-1	DAVIES_SUCCESS
chr1	12952726	12958094	-	343071	PRAMEF10	19	9.99159957E-1	DAVIES_SUCCESS
chr1	12976449	13611550	+	391002	PRAMEF8	37	6.68047636E-1	DAVIES_SUCCESS
chr1	12998301	13369057	-	343068	PRAMEF5	37	6.68047636E-1	DAVIES_SUCCESS
chr1	13182959	13184326	-	440563	LOC440563	37	6.68047636E-1	DAVIES_SUCCESS
chr1	13516065	13747803	+	645425	PRAMEF20	82	1.17065604E-1	DAVIES_SUCCESS
chr1	13801444	13840242	-	126755	LRRC38	384	2.48728896E-2	DAVIES_SUCCESS
chr1	13910251	13944452	+	10630	PDPN	415	4.31353709E-1	DAVIES_SUCCESS
chr1	14026734	14151574	+	7799	PRDM2	361	9.20145145E-1	DAVIES_SUCCESS
chr1	14925212	15444544	+	23254	KAZN	1809	1.7654573E-2	DAVIES_SUCCESS
chr1	15438310	15478960	-	200197	TMEM51-AS1	565	2.05805146E-1	DAVIES_SUCCESS
chr1	15479027	15546974	+	55092	TMEM51	792	2.89383099E-1	DAVIES_SUCCESS
chr1	15573767	15726778	+	114827	FHAD1	676	3.76739184E-1	DAVIES_SUCCESS
chr1	15736390	15756839	+	79180	EFHD2	234	1.29637533E-1	DAVIES_SUCCESS
chr1	15764937	15773153	+	11330	CTRC	231	1.65542298E-1	DAVIES_SUCCESS
chr1	15783222	15798586	+	63036	CELA2A	275	3.06361249E-1	DAVIES_SUCCESS
chr1	15802595	15817895	+	51032	CELA2B	280	3.55935599E-1	DAVIES_SUCCESS
chr1	15817323	15851285	-	842	CASP9	323	4.16834105E-1	DAVIES_SUCCESS
chr1	15853351	15918874	+	23341	DNAJC16	473	7.38823442E-1	DAVIES_SUCCESS
chr1	15898193	15911605	-	79814	AGMAT	332	7.39607836E-1	DAVIES_SUCCESS
chr1	15943952	15987552	+	84301	DDI2	395	6.72386326E-1	DAVIES_SUCCESS
chr1	15986363	15988217	+	6248	RSC1A1	215	5.37061403E-1	DAVIES_SUCCESS
chr1	16010826	16061264	+	23207	PLEKHM2	323	5.03312402E-1	DAVIES_SUCCESS
chr1	16062808	16067884	+	284723	SLC25A34	236	4.47703591E-1	DAVIES_SUCCESS
chr1	16068986	16074292	+	388595	TMEM82	238	4.96066193E-1	DAVIES_SUCCESS
chr1	16083153	16113084	+	54751	FBLIM1	393	8.10734387E-1	DAVIES_SUCCESS
chr1	16133656	16134194	-	440567	UQCRHL	301	9.5513608E-1	DAVIES_SUCCESS
chr1	16160709	16174642	-	729614	FLJ37453	315	9.46445398E-1	DAVIES_SUCCESS
chr1	16174358	16266950	+	23013	SPEN	429	9.43621142E-1	DAVIES_SUCCESS
chr1	16268363	16302627	-	7709	ZBTB17	339	7.81111318E-1	DAVIES_SUCCESS
chr1	16330730	16333184	+	149563	C1orf64	463	6.53509345E-1	DAVIES_SUCCESS
chr1	16340522	16346089	-	27129	HSPB7	498	6.98517822E-1	DAVIES_SUCCESS
chr1	16345369	16360545	+	1187	CLCNKA	517	6.88650281E-1	DAVIES_SUCCESS
chr1	16355620	16383821	+	1188	CLCNKB	608	5.68145699E-1	DAVIES_SUCCESS
chr1	16384263	16400127	-	348487	FAM131C	507	4.98830973E-1	DAVIES_SUCCESS
chr1	16450831	16482582	-	1969	EPHA2	317	1.30009949E-1	DAVIES_SUCCESS
chr1	16524598	16539104	-	128272	ARHGEF19	242	1.48576925E-1	DAVIES_SUCCESS
chr1	16558181	16563659	-	79363	RSG1	234	1.98752499E-1	DAVIES_SUCCESS
chr1	16576558	16678948	-	54455	FBXO42	374	5.84145238E-1	DAVIES_SUCCESS
chr1	16693524	16724643	+	26099	SZRD1	264	9.16476256E-1	DAVIES_SUCCESS
chr1	16722175	16763919	-	374955	SPATA21	307	8.4705475E-1	DAVIES_SUCCESS
chr1	16767166	16786584	+	55707	NECAP2	273	7.76081984E-1	DAVIES_SUCCESS
chr1	16793930	16819196	-	114819	CROCCP3	231	6.68128081E-1	DAVIES_SUCCESS
chr1	16875408	17185516	+	100500876	MIR3675	74	6.9030257E-1	DAVIES_SUCCESS
chr1	16888921	16940100	-	55672	NBPF1	38	7.74836289E-1	DAVIES_SUCCESS
chr1	16944750	16971178	-	84809	CROCCP2	5	5.03852418E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16972068	16976915	+	11209	MST1P2	7	6.17320028E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17017712	17046652	-	284729	ESPNP	7	6.17320028E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17066767	17299474	+	9696	CROCC	144	7.18606945E-2	DAVIES_SUCCESS
chr1	17300998	17308081	-	4237	MFAP2	155	7.8511385E-2	DAVIES_SUCCESS
chr1	17312452	17338423	-	23400	ATP13A2	232	6.91366122E-2	DAVIES_SUCCESS
chr1	17345224	17380665	-	6390	SDHB	398	8.75751661E-2	DAVIES_SUCCESS
chr1	17393255	17445948	-	11240	PADI2	470	1.76483437E-1	DAVIES_SUCCESS
chr1	17531620	17572501	+	29943	PADI1	488	3.13181025E-1	DAVIES_SUCCESS
chr1	17575592	17610727	+	51702	PADI3	506	7.00829467E-2	DAVIES_SUCCESS
chr1	17634689	17690495	+	23569	PADI4	608	9.11742805E-3	DAVIES_SUCCESS
chr1	17698740	17728195	+	353238	PADI6	439	1.66548454E-2	DAVIES_SUCCESS
chr1	17733250	17766250	-	55920	RCC2	375	2.8129624E-2	DAVIES_SUCCESS
chr1	17846826	18024370	+	55160	ARHGEF10L	459	3.29558746E-1	DAVIES_SUCCESS
chr1	18081807	18153558	+	81569	ACTL8	349	5.47800723E-1	DAVIES_SUCCESS
chr1	18434239	18704977	+	84966	IGSF21	986	7.84611749E-2	DAVIES_SUCCESS
chr1	18807423	18812480	+	127707	KLHDC7A	339	3.85261779E-1	DAVIES_SUCCESS
chr1	18957499	19075360	+	5081	PAX7	527	3.95493632E-1	DAVIES_SUCCESS
chr1	19166092	19186155	-	80834	TAS1R2	438	6.20147117E-1	DAVIES_SUCCESS
chr1	19197923	19229293	-	8659	ALDH4A1	441	3.81423097E-1	DAVIES_SUCCESS
chr1	19209695	19209769	-	100616120	MIR4695	325	4.88860593E-1	DAVIES_SUCCESS
chr1	19230773	19282826	-	126917	IFFO2	502	1.38032786E-1	DAVIES_SUCCESS
chr1	19400999	19536746	-	23352	UBR4	454	5.37268171E-1	DAVIES_SUCCESS
chr1	19542157	19578053	-	23065	EMC1	259	2.19618562E-1	DAVIES_SUCCESS
chr1	19578074	19586622	+	51154	MRTO4	226	1.41334759E-1	DAVIES_SUCCESS
chr1	19592475	19600568	-	246181	AKR7L	265	1.50138706E-1	DAVIES_SUCCESS
chr1	19609056	19615280	-	22977	AKR7A3	281	2.00110145E-1	DAVIES_SUCCESS
chr1	19619740	19622230	-	100506730	LOC100506730	267	2.0348851E-1	DAVIES_SUCCESS
chr1	19629201	19638640	-	8574	AKR7A2	290	2.84078267E-1	DAVIES_SUCCESS
chr1	19638739	19658922	+	54896	PQLC2	283	5.25812582E-1	DAVIES_SUCCESS
chr1	19665266	19812066	-	832	CAPZB	658	4.41278566E-1	DAVIES_SUCCESS
chr1	19923470	19984949	+	100532736	MINOS1-NBL1	440	3.00228891E-1	DAVIES_SUCCESS
chr1	19934300	19935138	+	644068	RPS14P3	254	3.70968401E-1	DAVIES_SUCCESS
chr1	19969722	19984949	+	4681	NBL1	280	2.22416273E-1	DAVIES_SUCCESS
chr1	19991779	20006055	+	3362	HTR6	274	2.25698554E-1	DAVIES_SUCCESS
chr1	20008705	20126758	-	255104	TMCO4	531	2.27582347E-1	DAVIES_SUCCESS
chr1	20140521	20141771	-	54546	RNF186	278	1.24362731E-1	DAVIES_SUCCESS
chr1	20208887	20239437	+	23252	OTUD3	324	1.15847264E-1	DAVIES_SUCCESS
chr1	20246799	20250110	-	30814	PLA2G2E	243	4.69664924E-1	DAVIES_SUCCESS
chr1	20301923	20306932	-	5320	PLA2G2A	270	5.88566781E-1	DAVIES_SUCCESS
chr1	20354671	20418394	+	5322	PLA2G5	392	3.76052041E-1	DAVIES_SUCCESS
chr1	20439142	20446059	-	26279	PLA2G2D	232	5.77768947E-1	DAVIES_SUCCESS
chr1	20465822	20476879	+	64600	PLA2G2F	188	5.98461718E-1	DAVIES_SUCCESS
chr1	20490483	20501687	-	391013	PLA2G2C	168	6.55768936E-1	DAVIES_SUCCESS
chr1	20512577	20519942	+	127733	UBXN10	169	5.17602136E-1	DAVIES_SUCCESS
chr1	20617411	20681387	+	127731	VWA5B1	507	3.21172943E-1	DAVIES_SUCCESS
chr1	20686293	20755287	-	339505	LOC339505	361	3.27679541E-1	DAVIES_SUCCESS
chr1	20808883	20812728	-	55450	CAMK2N1	170	6.43109294E-1	DAVIES_SUCCESS
chr1	20825940	20834674	-	79594	MUL1	218	8.34650029E-1	DAVIES_SUCCESS
chr1	20878931	20881513	+	163933	FAM43B	371	8.55985183E-1	DAVIES_SUCCESS
chr1	20915443	20945400	+	978	CDA	550	8.70356648E-1	DAVIES_SUCCESS
chr1	20959947	20978004	+	65018	PINK1	408	7.07135694E-1	DAVIES_SUCCESS
chr1	20978259	20988037	-	1650	DDOST	373	7.53423097E-1	DAVIES_SUCCESS
chr1	20990506	21044317	-	57576	KIF17	425	6.76301053E-1	DAVIES_SUCCESS
