Chromosome	Gene	Score	Gene_start	Number_of_SNP
chr1	NPPA	0.00045752475788176137	11905765	51
chr1	NPPB	0.00031822937481029506	11917520	222
chr1	KIAA2013	9.220531193689197e-05	11979647	284
chr1	PLOD1	0.0003839561793702396	11994261	203
chr1	MFN2	0.00015002298877056592	12040237	156
chr1	MIIP	-0.00011666297448107116	12079522	86
chr1	TNFRSF8	0.00023262389660697413	12123433	399
chr1	TNFRSF1B	-0.00019999959530971027	12227059	274
chr1	VPS13D	0.0003314484057782863	12290123	1089
chr1	DHRS3	-1.6337502311548174e-05	12627938	506
chr1	AADACL4	0.0003461541362041019	12704565	241
chr1	AADACL3	-0.00012415417990946235	12776117	165
chr1	C1orf158	-8.639113542669982e-05	12806162	134
chr1	PRAMEF12	-6.526412305007096e-05	12834983	49
chr1	PRAMEF1	-3.909625622776209e-05	12851545	239
chr1	PRAMEF11	-4.8414301342813645e-05	12884467	47
chr1	HNRNPCL1	-4.0889272200158214e-05	12907260	83
chr1	PRAMEF2	-3.6616807346524734e-05	12916940	67
chr1	PRAMEF4	0.00013369842059901974	12939044	6
chr1	PRAMEF6	-0.0001176399891096218	12998180	17
chr1	PRAMEF26	-0.00012102936580499447	13216355	79
chr1	PRAMEF18	3.020528396425332e-05	13474688	4
chr1	PRAMEF16	-2.698575691605091e-06	13495253	1
chr1	PRAMEF19	-8.392474479410477e-06	13694888	3
chr1	PRAMEF20	-4.011133766264285e-05	13736906	1
chr1	LRRC38	-0.0001430229566378444	13801444	582
chr1	PDPN	-9.971573242268027e-05	13909959	635
chr1	PRDM2	7.54220438810425e-05	14026692	3178
chr1	KAZN	0.0001452639698211952	14925199	4758
chr1	TMEM51	0.00019094673531775327	15479027	673
chr1	C1orf195	1.1510021811062803e-05	15490839	35
chr1	FHAD1	0.000254087413260653	15573767	803
chr1	EFHD2	-3.889411267272029e-05	15736390	127
chr1	CTRC	-0.000692325670783702	15764934	68
chr1	CELA2A	-0.0005512902177073172	15783222	73
chr1	CELA2B	8.524737695363422e-05	15792403	124
chr1	CASP9	8.595648553294835e-05	15817326	207
chr1	DNAJC16	7.25558141666506e-05	15853307	348
chr1	AGMAT	0.0005529290061724532	15898847	86
chr1	DDI2	-9.837245988417526e-05	15943994	271
chr1	RSC1A1	0.0006244478398880311	15986363	5
chr1	PLEKHM2	0.0004580494219533488	16010826	270
chr1	SLC25A34	0.0001097508122306022	16062899	16
chr1	TMEM82	-0.00010978009184502864	16068916	57
chr1	FBLIM1	4.658722933703099e-05	16083101	346
chr1	SPEN	0.00010030625813550506	16174358	524
chr1	ZBTB17	0.00013909948899636605	16268363	184
chr1	C1orf64	9.93002034650008e-05	16330730	154
chr1	HSPB7	-8.531640571882634e-05	16340522	72
chr1	CLCNKA	0.0001019895302811805	16345369	151
chr1	CLCNKB	-0.00011326125527114103	16370271	225
chr1	FAM131C	-3.861453348347534e-05	16384263	240
chr1	EPHA2	-5.394669332378097e-05	16450831	322
chr1	ARHGEF19	-5.373769053757955e-05	16524348	247
chr1	C1orf134	-0.00013071465006744127	16555367	38
chr1	RSG1	-0.00020493549701955122	16558194	34
chr1	FBXO42	-0.00013915178532864452	16573333	382
chr1	SZRD1	-0.0001257532321722801	16679069	149
chr1	SPATA21	-0.00018792556642208228	16713611	227
chr1	NECAP2	-8.759371910388435e-05	16767166	291
chr1	AL355149.2	-0.00010163561063148977	16865560	157
chr1	NBPF1	0.0002197270563273697	16888813	6
chr1	AL137798.1	-0.0001278727517597179	16999497	7
chr1	AL021920.2	-0.0009154765284332158	17060446	1
chr1	CROCC	-0.0001448187749440486	17066767	181
chr1	MFAP2	-0.0004476454554566513	17300996	37
chr1	ATP13A2	-0.0005416654808768315	17312452	100
chr1	SDHB	4.335578894327453e-05	17345216	209
chr1	PADI2	-2.2012839120761098e-05	17393255	587
chr1	PADI1	9.996929550293521e-06	17531620	488
chr1	PADI3	-0.00013535439967546088	17575592	328
chr1	PADI4	0.00026784061870043234	17634689	461
chr1	AC004824.2	-0.00020743922797032097	17655506	180
chr1	RCC2	-5.150547821477823e-05	17733255	569
chr1	ARHGEF10L	2.8172836896688723e-05	17866329	908
chr1	ACTL8	0.0002401768093887653	18081807	1121
chr1	IGSF21	4.6179245329420434e-05	18434239	2248
chr1	KLHDC7A	-8.633024336438008e-05	18807423	735
chr1	PAX7	0.0001648413933250497	18957499	1157
chr1	TAS1R2	-5.175159898273203e-05	19166092	423
chr1	RP13-279N23.2	-0.00010016543852392281	19175766	181
chr1	ALDH4A1	7.607406104618193e-05	19197925	206
chr1	IFFO2	-0.0001722335831508228	19230774	693
chr1	UBR4	-0.00017829062344617815	19400999	759
chr1	EMC1	-0.00019942223681539134	19542157	168
chr1	MRTO4	-0.00047907850767998195	19578032	135
chr1	AKR7A3	-0.0005745495867331033	19609051	166
chr1	AKR7A2	0.00026135485691063456	19630458	65
chr1	PQLC2	-8.31107827399202e-05	19638819	153
chr1	CAPZB	0.00011335148035776804	19665266	1143
chr1	MINOS1-NBL1	9.46375964620914e-05	19923472	369
chr1	MINOS1	0.00030346706524964626	19923476	112
chr1	NBL1	5.0582297031761496e-05	19967047	113
chr1	HTR6	-0.00013930997629561123	19991779	90
chr1	TMCO4	1.627102336089236e-05	20008705	545
chr1	RNF186	0.0006583385564276836	20140522	256
chr1	OTUD3	0.00012634928950332118	20209005	305
chr1	PLA2G2E	-0.00013214253726915231	20246501	181
chr1	PLA2G2A	-3.290763920043679e-05	20301924	283
chr1	PLA2G5	6.5048548786049376e-06	20354671	445
chr1	PLA2G2D	0.00028654542664352886	20438431	116
chr1	PLA2G2F	0.00016005114053568677	20465818	91
chr1	PLA2G2C	-0.0001257748545890446	20487745	102
chr1	UBXN10	-3.0317569200770482e-05	20512577	228
chr1	VWA5B1	-5.344246496217894e-05	20617411	868
chr1	CAMK2N1	-6.448309250271035e-05	20808883	244
chr1	MUL1	-0.0006952281399784262	20825942	148
chr1	FAM43B	-0.0002558889198978333	20878931	257
chr1	CDA	-2.9019924511599046e-05	20915440	399
chr1	PINK1	6.393543501347215e-05	20959947	141
chr1	DDOST	0.0001790960644174177	20978269	53
chr1	KIF17	-0.00022358862804795751	20990506	290
chr1	SH2D5	-0.0003579556746388477	21046224	74
chr1	HP1BP3	-0.0001393801497437335	21069153	206
chr1	EIF4G3	-7.493555002179547e-05	21132962	1350
chr1	ECE1	2.8794571677745106e-05	21543739	895
chr1	NBPF3	-6.460191016482418e-05	21766620	621
chr1	ALPL	7.16526239863091e-07	21835857	553
chr1	RAP1GAP	3.9928539781306574e-05	21922707	485
chr1	USP48	0.00014995608449973994	22004790	607
chr1	LDLRAD2	-8.276299955555991e-05	22138757	133
chr1	HSPG2	0.00010910789384663005	22148737	671
chr1	CELA3B	0.0007004965751043722	22303513	434
chr1	CELA3A	-0.00025807873894871165	22328148	210
chr1	CDC42	-0.0004911241472466887	22379119	381
chr1	WNT4	-6.066768101965805e-05	22443797	1164
chr1	ZBTB40	9.542312901711847e-05	22778343	1038
chr1	EPHA8	-3.855921725050675e-05	22890056	408
chr1	C1QA	0.00040204497181244416	22962998	91
chr1	C1QC	-2.1518732502656763e-05	22970122	52
chr1	C1QB	9.433837959411687e-05	22979254	151
chr1	EPHB2	7.729306468195698e-05	23037331	842
chr1	LACTBL1	-2.5006318495531927e-05	23279535	234
chr1	C1orf234	0.00022425616920812875	23337326	83
chr1	KDM1A	8.235750144504987e-05	23345940	143
chr1	LUZP1	2.865381455045562e-05	23410515	319
chr1	HTR1D	-9.965177419326416e-05	23516992	288
chr1	HNRNPR	-3.185427390936648e-05	23630263	277
chr1	ZNF436	5.5684230960899105e-05	23685940	71
chr1	C1orf213	7.870400811737901e-05	23695489	20
chr1	TCEA3	-0.0003086161252239889	23707553	183
chr1	ASAP3	0.0002256892982069206	23755055	281
chr1	E2F2	2.3932472274329823e-05	23832921	189
chr1	ID3	9.067493163326392e-05	23884408	90
chr1	MDS2	0.00020695206396566146	23907984	346
chr1	RPL11	2.2212660557379777e-05	24018268	192
chr1	TCEB3	-0.00012247313568966266	24069644	107
chr1	PITHD1	0.0005218940442331718	24104894	39
chr1	LYPLA2	0.00033516152299274573	24117459	9
chr1	GALE	0.0007789312570720849	24122088	5
chr1	HMGCL	-4.221665616734355e-05	24128374	92
chr1	FUCA1	-0.0007192389365863073	24171566	99
chr1	CNR2	0.0002004112753535992	24197015	297
chr1	PNRC2	0.00040757619410661234	24285598	6
chr1	SRSF10	0.0001629229819548276	24291293	26
chr1	MYOM3	0.00011986885860589569	24382524	400
chr1	IL22RA1	0.00027685988854922363	24446260	146
chr1	IFNLR1	1.106496005972099e-05	24480646	517
chr1	GRHL3	0.00036275534925232024	24645811	445
chr1	STPG1	0.0003998180467185567	24683488	239
chr1	NIPAL3	0.00015685122592576573	24742283	289
chr1	RCAN3	0.00044454304465191876	24829386	260
chr1	NCMAP	-9.628440789024883e-05	24882601	437
chr1	SRRM1	0.00021949354229833254	24958206	269
chr1	CLIC4	0.00021823897869668727	25071847	507
chr1	RUNX3	-6.23996489632016e-05	25226001	1127
chr1	SYF2	-0.0003863930709760532	25549169	585
chr1	C1orf63	-1.5647751006324858e-05	25568727	86
chr1	RHD	0.0004113389066529758	25598883	69
chr1	TMEM50A	-0.00014584272387876916	25664407	50
chr1	RHCE	0.00021279525847582023	25688739	137
chr1	TMEM57	-0.0002266354004271567	25757387	209
chr1	LDLRAP1	0.00010393796550235994	25870070	222
chr1	MAN1C1	0.000850046852687753	25943958	605
chr1	SEPN1	0.0002509167094471573	26126666	76
chr1	RP1-317E23.6	0.000490464785616241	26137960	31
chr1	AL020996.1	0.000490013861997994	26145211	8
chr1	MTFR1L	-9.063009444042817e-05	26145130	35
chr1	AUNIP	-6.280039184513884e-05	26158413	101
chr1	PAQR7	0.00017355306125491033	26187700	37
chr1	STMN1	0.00032167619254010936	26210671	119
chr1	PAFAH2	0.00028519209147483354	26286257	285
chr1	EXTL1	3.7746297448939835e-05	26346374	76
chr1	SLC30A2	-0.000122555555919154	26363742	37
chr1	TRIM63	5.245095889459927e-06	26377794	156
chr1	PDIK1L	3.888723125362449e-05	26437663	180
chr1	FAM110D	0.00010083674718945818	26485510	90
chr1	ZNF593	-0.000493214355798109	26496361	40
chr1	CNKSR1	0.00013576443007257228	26503893	58
chr1	CATSPER4	-0.00017516246597649014	26517051	148
chr1	CEP85	-0.0003365294051768096	26560690	294
chr1	SH3BGRL3	-0.0010748456473417501	26605666	8
chr1	UBXN11	-0.00040220773118915	26607818	186
chr1	CD52	-9.941333969368882e-05	26644447	19
chr1	AIM1L	4.138222483117501e-05	26648349	173
chr1	ZNF683	3.298496459701195e-05	26688124	194
chr1	LIN28A	0.0003133154745960639	26737268	188
chr1	DHDDS	0.00041917274770835464	26758772	122
chr1	HMGN2	0.0007223008904889642	26798940	107
chr1	RPS6KA1	0.00020060633006879089	26856251	382
chr1	ARID1A	-0.0018657528575919552	27022523	341
chr1	PIGV	-0.0010020462361739783	27113962	49
chr1	ZDHHC18	-0.0005718144298097978	27153200	129
chr1	SFN	-0.002051492293916816	27189632	26
chr1	GPN2	-0.0007549006671728595	27202623	50
chr1	GPATCH3	-0.0010362601006629795	27216978	22
chr1	NUDC	-0.0013117816799619916	27226728	126
chr1	NR0B2	-0.0005661482570909925	27237979	7
chr1	C1orf172	-0.0021504554832652706	27276052	56
chr1	TRNP1	0.0003402066984329618	27320197	57
chr1	FAM46B	-0.0003088700276794943	27331510	187
chr1	SLC9A1	6.183997510030702e-05	27425305	418
chr1	WDTC1	0.0004990779393701192	27561006	312
chr1	TMEM222	0.00028233697261928947	27648650	72
chr1	SYTL1	0.001088101662020635	27668512	58
chr1	MAP3K6	-1.2644831720070292e-05	27681674	52
chr1	FCN3	0.000439234888941158	27695602	28
chr1	CD164L2	0.0012209717648325412	27705665	20
chr1	GPR3	0.0008728337337160594	27719147	27
chr1	WASF2	0.0009433075776765709	27730729	306
chr1	AHDC1	0.0009027130541061382	27860545	214
chr1	FGR	-0.00019011284494564778	27938574	120
chr1	IFI6	-0.00030812642810318207	27992571	164
chr1	FAM76A	7.951975407243325e-05	28052489	207
chr1	STX12	-5.932282553973932e-05	28099693	128
chr1	PPP1R8	-1.619038888828001e-05	28157288	86
chr1	THEMIS2	0.00026705618421026434	28199054	109
chr1	RPA2	0.00038258691760198623	28218034	182
chr1	SMPDL3B	0.00017656749249989588	28261503	193
chr1	XKR8	0.00027463233832905127	28285972	43
chr1	EYA3	3.247852778432188e-05	28296854	671
chr1	PTAFR	0.0001456232725225492	28473676	232
chr1	DNAJC8	-2.3803263170397023e-05	28525966	173
chr1	AL353354.2	0.003013196783672349	28527069	1
chr1	ATPIF1	0.0001236884162251798	28562619	109
chr1	SESN2	0.0006511896892225008	28586037	221
chr1	MED18	0.00033262580368890603	28655512	165
chr1	PHACTR4	0.0004969691120696488	28696113	731
chr1	RCC1	0.0003573115246987951	28832454	188
chr1	TRNAU1AP	7.452936814877029e-05	28879596	118
chr1	TAF12	4.802388882643071e-05	28915834	186
chr1	RAB42	-6.0307088644570603e-05	28918711	12
chr1	GMEB1	-0.00011073558242021815	28995243	211
chr1	YTHDF2	-5.2488945407211165e-05	29063132	220
chr1	OPRD1	-0.00012661733754235112	29138653	387
chr1	EPB41	1.1732661510017627e-05	29213602	808
chr1	TMEM200B	-0.0001756272472209944	29445939	78
chr1	SRSF4	-0.0001133551439793243	29474254	187
chr1	MECR	0.00011109680618314908	29519384	186
chr1	PTPRU	2.7023151099303204e-05	29563027	3496
chr1	MATN1	1.3337150798531802e-05	31184123	4038
chr1	LAPTM5	-9.754969055889992e-05	31205315	304
chr1	SDC3	5.510542770839313e-05	31342313	517
chr1	PUM1	5.62424865379226e-05	31404352	943
chr1	NKAIN1	7.708087234327154e-05	31652591	662
chr1	SNRNP40	0.00018356293733552212	31732416	203
chr1	ZCCHC17	0.0002066764244468752	31769841	242
chr1	FABP3	-6.438692368387467e-05	31838471	123
chr1	SERINC2	4.075952061826239e-05	31882411	578
chr1	AC114494.1	-6.171342980789148e-07	31902191	3
chr1	TINAGL1	0.00011042761592151243	32042115	499
chr1	HCRTR1	0.00023254564788016484	32083286	95
chr1	PEF1	0.00036477838207432336	32095462	49
chr1	COL16A1	9.962689854919348e-05	32117847	234
chr1	BAI2	5.9811089655806014e-05	32192717	206
chr1	SPOCD1	-0.0002746166007846774	32256022	331
chr1	PTP4A2	0.00010734160970256509	32372021	364
chr1	AL136115.1	0.0018668162316215833	32379173	3
chr1	KHDRBS1	0.00058984389794035	32479429	215
chr1	TMEM39B	0.0005689114421452472	32537631	107
chr1	KPNA6	-0.0005743682614495626	32573638	190
chr1	TXLNA	0.00020752766622448004	32645286	71
chr1	CCDC28B	0.0006486874185289126	32665986	14
chr1	IQCC	-0.0005991339762792335	32671235	11
chr1	DCDC2B	-0.0005700379815869487	32674694	23
chr1	TMEM234	-0.00010068600657337935	32680072	22
chr1	EIF3I	6.2256135200055e-05	32687528	46
chr1	FAM167B	-0.00027929255376758007	32712833	37
chr1	LCK	-2.9598517340974225e-05	32716839	100
chr1	HDAC1	0.0003910590776817551	32757686	91
chr1	MARCKSL1	0.0008832366464712095	32799432	14
chr1	TSSK3	-0.0002892188764566397	32817121	27
chr1	FAM229A	0.0015120701853359216	32826870	3
chr1	BSDC1	0.000154725316218584	32830703	123
chr1	RP1-27O5.3	-0.00010982982892415273	32930657	266
chr1	ZBTB8B	0.0002491996060746677	32930669	60
chr1	ZBTB8A	6.700425834431359e-06	33005027	226
chr1	ZBTB8OS	0.0011546568735866685	33065772	196
chr1	RBBP4	0.0005442265199953051	33116742	135
chr1	SYNC	0.00015014035787534413	33145506	156
chr1	KIAA1522	0.00014504673594620737	33207485	173
chr1	YARS	-9.665625048782582e-06	33240839	130
chr1	S100PBP	0.000192579250567822	33282367	153
chr1	FNDC5	4.907564797373088e-05	33327868	53
chr1	HPCA	5.918405136297421e-05	33351594	49
chr1	TMEM54	-0.0003089450857750247	33360194	72
chr1	RNF19B	-0.00027624745517750265	33402045	182
chr1	FKSG48	-9.321645502330327e-05	33439267	84
chr1	AK2	-0.00014816755222117752	33473584	280
chr1	ADC	-0.0003187024991157104	33546704	153
chr1	TRIM62	-2.0410331786945133e-05	33611002	334
chr1	ZNF362	7.279510867996592e-05	33722145	279
chr1	A3GALT2	-0.0001857312713055501	33772366	74
chr1	PHC2	-0.00035893373653497496	33789223	615
chr1	ZSCAN20	-0.00018732586976675196	33938245	186
chr1	CSMD2	-7.731749762789376e-05	33979608	2779
chr1	HMGB4	0.0011034311175709395	34326075	14
chr1	C1orf94	2.8194988075521544e-06	34632483	1524
chr1	SMIM12	0.000163817752003025	35178337	1924
chr1	GJB5	4.16581279298305e-05	35220647	20
chr1	GJB4	0.001180465176916588	35225341	28
chr1	GJB3	-0.00024522933659955044	35246789	19
chr1	GJA4	-0.0001340240459062049	35258598	14
chr1	DLGAP3	0.00011621330418437412	35331036	229
chr1	ZMYM6	-0.00011607126734071325	35447133	234
chr1	ZMYM6NB	0.00010828125784881111	35447135	12
chr1	ZMYM1	-0.0001638173971063004	35525386	265
chr1	SFPQ	0.0008867916131144554	35641978	328
chr1	ZMYM4	0.0003095841012128351	35734567	545
chr1	KIAA0319L	0.00011862330584082614	35899090	327
chr1	NCDN	0.00017341802446580877	36023073	29
chr1	TFAP2E	6.818826669042265e-05	36038970	70
chr1	PSMB2	-4.09607967434599e-05	36067184	209
chr1	C1orf216	-0.00013241395462436386	36179475	120
chr1	CLSPN	-0.0002625220227752921	36185818	165
chr1	AGO4	-0.00011099095417035999	36273772	170
chr1	AGO1	0.000229424006734125	36335408	156
chr1	AGO3	0.0003392756714636991	36396318	286
chr1	TEKT2	0.00032071736718057125	36549675	20
chr1	ADPRHL2	0.0025574524271638048	36554475	10
chr1	COL8A2	-7.661558436203685e-05	36560836	114
chr1	TRAPPC3	3.651974592333965e-05	36602172	66
chr1	MAP7D1	0.0006482255823442703	36621179	119
chr1	THRAP3	0.0006393519975585394	36690016	241
chr1	SH3D21	-0.00011195614182805713	36771987	41
chr1	EVA1B	0.0014566073809869926	36787631	3
chr1	RP11-268J15.5	-1.2108854384360234e-05	36789334	41
chr1	STK40	-3.15606296993689e-06	36805224	125
chr1	LSM10	0.0009552415537250751	36856838	119
chr1	OSCP1	0.00031164178710883225	36881427	276
chr1	MRPS15	0.0002122333878190773	36921318	63
chr1	CSF3R	0.00013320704679114926	36931643	685
chr1	GRIK3	0.0001560434242840372	37261127	2256
chr1	ZC3H12A	-7.958537798620325e-05	37940152	1215
chr1	MEAF6	3.060445329135781e-05	37958175	171
chr1	SNIP1	0.0001526980574295994	38000049	113
chr1	DNALI1	-7.829087599947036e-05	38022519	47
chr1	GNL2	9.39659291423421e-05	38032416	133
chr1	RSPO1	0.00022679101993952923	38076950	239
chr1	C1orf109	0.00016343485780920183	38147241	151
chr1	CDCA8	0.0005310189890972661	38158089	92
chr1	EPHA10	1.4402730484694893e-05	38179551	366
chr1	MANEAL	0.00012655831759907608	38259473	89
chr1	YRDC	0.00017193309410672868	38268615	14
chr1	C1orf122	-4.0965796666607356e-05	38272650	4
chr1	MTF1	-0.0002304228461077599	38275238	145
chr1	AL929472.1	-0.001686117862548036	38292231	5
chr1	INPP5B	-0.0002547921428214548	38326368	387
chr1	SF3A3	-7.407909926292361e-05	38422646	209
