Chromosome	Gene	-log10(pvalue)	Gene_start	Number_of_SNP
chr1	SLC35E2	1.3081682072574146	1656276	96
chr1	NADK	1.2892540825505885	1682670	134
chr1	GNB1	2.003760284826383	1716728	332
chr1	CALML6	1.8518787904982315	1846265	56
chr1	TMEM52	1.127196557109872	1849028	16
chr1	C1orf222	2.227102794400606	1853395	534
chr1	GABRD	1.257129604603127	1950779	123
chr1	PRKCZ	2.3426515274387656	1981908	796
chr1	C1orf86	1.5109504134881706	2115902	100
chr1	AL590822.2	0	2121236	4
chr1	AL590822.1	1.2466123026650324	2143359	43
chr1	SKI	3.3435941618747527	2160133	488
chr1	MORN1	2.436604357990179	2252691	525
chr1	AL589739.1	0.4233638443391987	2258580	5
chr1	RER1	1.4240700996229356	2323266	66
chr1	PEX10	1.754132145620809	2336235	88
chr1	PLCH2	1.869309291652823	2357418	523
chr1	PANK4	2.1449462793685727	2439971	122
chr1	HES5	1.1723361270614008	2460183	87
chr1	TNFRSF14	2.0626797418887763	2487077	159
chr1	FAM213B	1.8530692618013465	2517929	65
chr1	MMEL1	1.7244076545393847	2522077	267
chr1	TTC34	2.258954031888907	2567414	1161
chr1	ACTRT2	2.0093419805837094	2938045	850
chr1	PRDM16	2.71132831438127	2985731	2370
chr1	ARHGEF16	1.3574246943859969	3370989	192
chr1	MEGF6	2.292669177591666	3406483	792
chr1	TPRG1L	1.475403979662287	3541565	57
chr1	WRAP73	1.3140228212097915	3547330	87
chr1	TP73	2.5604636303439134	3569083	465
chr1	CCDC27	1.770825173072466	3668961	126
chr1	SMIM1	0.9335212596917359	3689351	51
chr1	LRRC47	1.1888125469534256	3696783	167
chr1	CEP104	2.0626476328006187	3728644	430
chr1	DFFB	1.83716685612184	3773844	229
chr1	C1orf174	2.161528720928071	3805688	2035
chr1	AJAP1	2.799751586484646	4714791	7701
chr1	NPHP4	2.993461224864265	5922870	3494
chr1	KCNAB2	2.4208729125890462	6051525	542
chr1	AL035406.1	0.05749093616065134	6100629	5
chr1	CHD5	1.951802993088043	6161852	450
chr1	RPL22	0.848326831889294	6241328	85
chr1	RNF207	1.131791838183364	6265534	65
chr1	ICMT	2.001163294339875	6281252	78
chr1	HES3	0.6340816778236568	6304251	20
chr1	GPR153	1.2638529898739919	6307405	68
chr1	ACOT7	1.705613144549396	6324328	774
chr1	HES2	1.3133869652203825	6472477	111
chr1	ESPN	1.2244332384639331	6484847	164
chr1	TNFRSF25	1.1990465978920404	6521210	21
chr1	PLEKHG5	1.5114845361057607	6526151	259
chr1	NOL9	1.075815855530995	6581406	201
chr1	TAS1R1	1.0008859952902935	6615240	99
chr1	ZBTB48	0.7670673875949325	6640060	28
chr1	KLHL21	1.6072661244875335	6650783	107
chr1	PHF13	0.8518787904982315	6673744	38
chr1	THAP3	0.850033066600239	6684925	42
chr1	DNAJC11	1.7827056074652081	6694227	501
chr1	CAMTA1	4.066194447411106	6845383	4702
chr1	VAMP3	1.1574088563698528	7831328	60
chr1	PER3	2.2272889233317805	7844379	348
chr1	UTS2	3.09840056944684	7903142	311
chr1	TNFRSF9	3.049544595901004	7979906	296
chr1	PARK7	2.0596862663486606	8014350	163
chr1	ERRFI1	2.2093440490890868	8064463	717
chr1	SLC45A1	3.2082188531587854	8377885	893
chr1	RERE	6.157551154489667	8412456	1449
chr1	ENO1	3.940341933633303	8921060	297
chr1	CA6	2.9251177621451085	9005925	461
chr1	SLC2A7	3.0782344745120493	9063358	188
chr1	SLC2A5	1.7987831862862615	9095165	403
chr1	GPR157	2.4670508053082516	9160363	382
chr1	H6PD	2.6856481582243372	9294833	615
chr1	SPSB1	2.927110715199227	9352938	1130
chr1	SLC25A33	2.2441281920187772	9599540	444
chr1	TMEM201	1.9146130811745248	9648931	131
chr1	PIK3CD	1.7828847044923162	9711789	420
chr1	C1orf200	0.5653480770149373	9712667	10
chr1	CLSTN1	1.8048949754900205	9789083	381
chr1	CTNNBIP1	1.4558537896777082	9908333	275
chr1	LZIC	1.2749799124113255	9982172	109
chr1	NMNAT1	1.6659405097836553	10003485	186
chr1	RBP7	1.135777951455147	10057263	123
chr1	UBE4B	3.0823007553539163	10092889	726
chr1	KIF1B	3.4213321435834554	10270862	975
chr1	PGD	3.6548694640017514	10458648	156
chr1	APITD1	1.9608040744067912	10490158	35
chr1	APITD1-CORT	1.9258420803026841	10490158	108
chr1	CORT	1.175535066981126	10509775	5
chr1	DFFA	3.568258403195277	10516578	70
chr1	PEX14	5.361203351395486	10532344	671
chr1	CASZ1	3.431326676993832	10696660	1068
chr1	C1orf127	1.914548865981907	11006527	632
chr1	TARDBP	1.5745619739922565	11072413	92
chr1	MASP2	1.7089665472608613	11086579	100
chr1	SRM	0.7439753694486364	11114640	33
chr1	EXOSC10	1.9834304340809785	11126674	169
chr1	MTOR	2.0559088628397166	11166591	535
chr1	ANGPTL7	0.9883407613510792	11249397	24
chr1	UBIAD1	2.2020853094512236	11333262	445
chr1	PTCHD2	2.4027305435289987	11539222	1007
chr1	FBXO2	1.5564241202497424	11708423	295
chr1	FBXO44	1.7353639578282736	11714431	37
chr1	FBXO6	1.7527855713188256	11724180	63
chr1	MAD2L2	2.3824754651137074	11734536	79
chr1	DRAXIN	1.6517574617080764	11751785	171
chr1	AGTRAP	1.0235789437672018	11796140	108
chr1	C1orf167	5.176968768391941	11821843	179
chr1	MTHFR	3.803901226349492	11845779	107
chr1	CLCN6	3.664772848200477	11866206	260
chr1	NPPA	2.502589298449556	11905765	51
chr1	NPPB	2.6249182731378697	11917520	233
chr1	KIAA2013	1.8333686238364784	11979647	286
chr1	PLOD1	1.390362910367699	11994261	207
chr1	MFN2	2.967748006200327	12040237	164
chr1	MIIP	2.7866496180802303	12079522	90
chr1	TNFRSF8	3.8168754200746338	12123433	405
chr1	TNFRSF1B	1.604086788489511	12227059	284
chr1	VPS13D	1.9604272634072335	12290123	1156
chr1	DHRS3	2.17857687714078	12627938	519
chr1	AADACL4	1.6848528663179003	12704565	256
chr1	AADACL3	1.7444477063749777	12776117	169
chr1	C1orf158	1.8360221081254628	12806162	134
chr1	PRAMEF12	1.1110071766754062	12834983	49
chr1	PRAMEF1	1.488454852231728	12851545	241
chr1	PRAMEF11	0.6623930038781622	12884467	47
chr1	HNRNPCL1	0.22549982244985226	12907260	84
chr1	PRAMEF2	1.2381939013155394	12916940	67
chr1	PRAMEF4	1.3444495652489667	12939044	6
chr1	PRAMEF6	0.8791004700170074	12998180	17
chr1	PRAMEF26	0.8784959644336312	13216355	79
chr1	PRAMEF18	0.0013348992171788095	13474688	4
chr1	PRAMEF16	0	13495253	1
chr1	PRAMEF19	0	13694888	3
chr1	PRAMEF20	0	13736906	1
chr1	LRRC38	2.7813936060649733	13801444	598
chr1	PDPN	2.509401092413307	13909959	650
chr1	PRDM2	2.3179217433019526	14026692	3386
chr1	KAZN	3.0773897465028535	14925199	4965
chr1	TMEM51	3.6458166226953326	15479027	686
chr1	C1orf195	1.2133962062963728	15490839	38
chr1	FHAD1	2.1757693490307477	15573767	841
chr1	EFHD2	1.4743074754949892	15736390	138
chr1	CTRC	1.516133247087895	15764934	74
chr1	CELA2A	1.1129298501919873	15783222	77
chr1	CELA2B	1.6716407864521978	15792403	134
chr1	CASP9	1.6751745016858013	15817326	216
chr1	DNAJC16	1.5901496877914691	15853307	368
chr1	AGMAT	1.7475231969897855	15898847	89
chr1	DDI2	2.2651505852900327	15943994	288
chr1	RSC1A1	0.38372198533497	15986363	5
chr1	PLEKHM2	1.8664834455975243	16010826	291
chr1	SLC25A34	0.4397752481691544	16062899	16
chr1	TMEM82	1.2983413665112242	16068916	59
chr1	FBLIM1	1.904652781232746	16083101	393
chr1	SPEN	2.740896113426738	16174358	569
chr1	ZBTB17	2.5330404908765165	16268363	207
chr1	C1orf64	1.6929920152412423	16330730	175
chr1	HSPB7	1.2521184137965278	16340522	75
chr1	CLCNKA	1.6787081898298084	16345369	178
chr1	CLCNKB	1.8711130701568746	16370271	243
chr1	FAM131C	2.2109716723870774	16384263	253
chr1	EPHA2	2.1923378139711267	16450831	343
chr1	ARHGEF19	2.0916522613190764	16524348	259
chr1	C1orf134	0.8959945670409815	16555367	39
chr1	RSG1	1.0175831217775055	16558194	35
chr1	FBXO42	1.959314606041825	16573333	413
chr1	SZRD1	1.635096459385437	16679069	157
chr1	SPATA21	2.027346433093697	16713611	241
chr1	NECAP2	1.4534894162763332	16767166	306
chr1	AL355149.2	1.1349997233237643	16865560	162
chr1	NBPF1	1.6493140304482474	16888813	7
chr1	AL137798.1	0.6071026493752912	16999497	8
chr1	AL021920.2	0.11686571507696497	17060446	3
chr1	CROCC	2.1778927522819145	17066767	196
chr1	MFAP2	1.0642610379151085	17300996	39
chr1	ATP13A2	1.1676865637961327	17312452	103
chr1	SDHB	1.4047386252254677	17345216	213
chr1	PADI2	2.2030803110869903	17393255	608
chr1	PADI1	2.19297465367193	17531620	522
chr1	PADI3	1.782584495460449	17575592	343
chr1	PADI4	2.568295368052478	17634689	478
chr1	AC004824.2	1.80510564331368	17655506	186
chr1	RCC2	2.325558665857307	17733255	623
chr1	ARHGEF10L	2.551389513649466	17866329	968
chr1	ACTL8	2.101919060816497	18081807	1187
chr1	IGSF21	2.4376440781830837	18434239	2388
chr1	KLHDC7A	3.262070636395757	18807423	804
chr1	PAX7	2.6293296528474275	18957499	1238
chr1	TAS1R2	2.338413509264046	19166092	442
chr1	RP13-279N23.2	1.573278961636779	19175766	187
chr1	ALDH4A1	1.8594919569618205	19197925	215
chr1	IFFO2	2.1191001288337783	19230774	731
chr1	UBR4	1.7051173154219137	19400999	823
chr1	EMC1	1.3463148450689828	19542157	178
chr1	MRTO4	1.2206993914671362	19578032	139
chr1	AKR7A3	1.6642673670849923	19609051	170
chr1	AKR7A2	1.4998596186545414	19630458	68
chr1	PQLC2	1.6639086720630185	19638819	166
chr1	CAPZB	2.984648628735071	19665266	1230
chr1	MINOS1-NBL1	1.8057854663958413	19923472	386
chr1	MINOS1	1.5883651444934963	19923476	121
chr1	NBL1	1.69221737951706	19967047	124
chr1	HTR6	0.960581914682321	19991779	93
chr1	TMCO4	2.0600860682282516	20008705	578
chr1	RNF186	2.0930258411637728	20140522	263
chr1	OTUD3	1.898325085403429	20209005	324
chr1	PLA2G2E	1.7546921898236816	20246501	195
chr1	PLA2G2A	1.840661442982191	20301924	292
chr1	PLA2G5	1.375888147954223	20354671	462
chr1	PLA2G2D	1.3433729136349455	20438431	121
chr1	PLA2G2F	1.4048345852097706	20465818	98
chr1	PLA2G2C	1.2516568955124505	20487745	108
chr1	UBXN10	2.028626260440754	20512577	240
chr1	VWA5B1	1.695104664108724	20617411	926
chr1	CAMK2N1	2.1727238000219113	20808883	281
chr1	MUL1	2.0003693072874595	20825942	166
chr1	FAM43B	2.043961781304696	20878931	267
chr1	CDA	2.130740697576506	20915440	412
chr1	PINK1	1.4901445102172721	20959947	145
chr1	DDOST	1.4565553051584974	20978269	56
chr1	KIF17	1.6758987100399212	20990506	305
chr1	SH2D5	1.2708376410667297	21046224	78
chr1	HP1BP3	1.094271022320118	21069153	220
chr1	EIF4G3	1.830354950865045	21132962	1406
chr1	ECE1	2.849289600864356	21543739	921
chr1	NBPF3	2.428795615227746	21766620	630
chr1	ALPL	1.5419350420887006	21835857	579
chr1	RAP1GAP	1.6322193119082216	21922707	501
chr1	USP48	1.8918478198360116	22004790	672
chr1	LDLRAD2	1.352048124765511	22138757	139
chr1	HSPG2	1.8212416930356667	22148737	718
chr1	CELA3B	2.017082330479494	22303513	452
chr1	CELA3A	1.3573792014369361	22328148	217
chr1	CDC42	2.031907625070922	22379119	413
chr1	WNT4	2.4283109622246712	22443797	1230
chr1	ZBTB40	3.0051037342893494	22778343	1107
chr1	EPHA8	2.031292023797358	22890056	423
chr1	C1QA	0.8643490499594074	22962998	95
chr1	C1QC	0.9445719722760154	22970122	55
chr1	C1QB	1.4134678294744327	22979254	159
chr1	EPHB2	2.345674225129134	23037331	935
chr1	LACTBL1	1.878440155812499	23279535	244
chr1	C1orf234	1.2032508741585073	23337326	92
chr1	KDM1A	2.172580320690546	23345940	152
chr1	LUZP1	2.0454743263815396	23410515	341
chr1	HTR1D	1.2811936645194548	23516992	305
chr1	HNRNPR	1.9537390198078781	23630263	293
chr1	ZNF436	1.0589260635609292	23685940	76
chr1	C1orf213	0.4455592995456515	23695489	21
chr1	TCEA3	2.0354415120675484	23707553	200
chr1	ASAP3	2.166295868980214	23755055	312
chr1	E2F2	2.83487740025381	23832921	207
chr1	ID3	3.392964461142907	23884408	102
chr1	MDS2	2.4940215813039335	23907984	368
chr1	RPL11	2.544377154853256	24018268	197
chr1	TCEB3	2.584667672303778	24069644	114
chr1	PITHD1	1.5103747480337888	24104894	43
chr1	LYPLA2	0.5455667718834116	24117459	10
chr1	GALE	0.7138220710344569	24122088	6
chr1	HMGCL	1.9689593267689025	24128374	101
chr1	FUCA1	1.5900854655462948	24171566	102
chr1	CNR2	1.6998394630486477	24197015	321
chr1	PNRC2	0.08369347338361584	24285598	6
chr1	SRSF10	0.5567808354567083	24291293	26
chr1	MYOM3	3.34541439328351	24382524	414
chr1	IL22RA1	1.9536648478324874	24446260	161
chr1	IFNLR1	2.6053417282021565	24480646	534
chr1	GRHL3	1.9101796372157454	24645811	462
chr1	STPG1	1.141208435709398	24683488	247
chr1	NIPAL3	1.3357887723449287	24742283	313
chr1	RCAN3	1.3291411851388635	24829386	275
chr1	NCMAP	1.6942832889086352	24882601	461
chr1	SRRM1	2.2406835094580897	24958206	289
chr1	CLIC4	2.1246718722746625	25071847	548
chr1	RUNX3	4.475497427124222	25226001	1190
chr1	SYF2	2.8506638592107363	25549169	626
chr1	C1orf63	2.4876585330029015	25568727	99
chr1	RHD	1.3233585088401323	25598883	77
chr1	TMEM50A	1.6930884063631235	25664407	75
chr1	RHCE	1.5542868476200442	25688739	195
chr1	TMEM57	1.5776088058450073	25757387	247
chr1	LDLRAP1	1.3602297183201109	25870070	242
chr1	MAN1C1	2.4694609416838045	25943958	632
chr1	SEPN1	1.655089240718773	26126666	81
chr1	RP1-317E23.6	1.5922420975727356	26137960	32
chr1	AL020996.1	0.879979159267035	26145211	8
chr1	MTFR1L	1.8389585901791279	26145130	37
chr1	AUNIP	3.2768933815350003	26158413	109
chr1	PAQR7	1.1656536986713877	26187700	43
chr1	STMN1	2.968373433294893	26210671	129
chr1	PAFAH2	1.9101090121880413	26286257	303
chr1	EXTL1	1.7006801442803035	26346374	85
chr1	SLC30A2	1.2388580586186368	26363742	41
chr1	TRIM63	1.5692317882880056	26377794	173
chr1	PDIK1L	1.6758101766263738	26437663	199
chr1	FAM110D	2.198358967964053	26485510	98
chr1	ZNF593	1.1307031409820627	26496361	42
chr1	CNKSR1	2.23347413204507	26503893	60
chr1	CATSPER4	2.111268578189553	26517051	154
chr1	CEP85	3.016972125462861	26560690	310
chr1	SH3BGRL3	1.51922581049045	26605666	8
chr1	UBXN11	2.6661458280780903	26607818	195
chr1	CD52	1.6545733338364184	26644447	21
chr1	AIM1L	2.565814466138028	26648349	178
chr1	ZNF683	2.0499682973930407	26688124	200
chr1	LIN28A	2.740088519089119	26737268	194
chr1	DHDDS	2.6324484109533794	26758772	130
chr1	HMGN2	4.090997353337444	26798940	115
chr1	RPS6KA1	2.614109651335363	26856251	421
chr1	ARID1A	1.9822448287377512	27022523	357
chr1	PIGV	2.0101663395729297	27113962	55
chr1	ZDHHC18	2.3949968017957124	27153200	137
chr1	SFN	1.3674779227948266	27189632	26
chr1	GPN2	1.356555219848905	27202623	52
chr1	GPATCH3	1.2661930635711587	27216978	25
chr1	NUDC	1.4800093402693073	27226728	131
chr1	NR0B2	0.3739513136088738	27237979	9
chr1	C1orf172	1.8036413998325422	27276052	66
chr1	TRNP1	1.0728863880662394	27320197	63
chr1	FAM46B	1.7937760792661939	27331510	198
chr1	SLC9A1	2.5106631891270377	27425305	441
chr1	WDTC1	2.6075967783509904	27561006	329
chr1	TMEM222	1.0717332261325814	27648650	80
chr1	SYTL1	1.2644873290896035	27668512	62
chr1	MAP3K6	1.309255637060379	27681674	52
chr1	FCN3	1.2048168022893	27695602	30
chr1	CD164L2	0.6145546060041586	27705665	22
chr1	GPR3	1.1183483427749907	27719147	28
chr1	WASF2	2.1698882264389576	27730729	324
chr1	AHDC1	1.966809539384415	27860545	227
chr1	FGR	1.975469181157412	27938574	131
chr1	IFI6	2.4309024410873	27992571	173
chr1	FAM76A	1.5304062326167882	28052489	231
chr1	STX12	1.80700905127943	28099693	144
chr1	PPP1R8	1.3871568290602005	28157288	99
chr1	THEMIS2	2.2574767486689646	28199054	117
chr1	RPA2	2.218165669892009	28218034	191
chr1	SMPDL3B	2.3294981000327004	28261503	208
chr1	XKR8	1.1210228936192563	28285972	43
chr1	EYA3	2.4312340597676294	28296854	715
chr1	PTAFR	2.432553665879313	28473676	251
chr1	DNAJC8	2.837519234580876	28525966	182
chr1	AL353354.2	0	28527069	1
chr1	ATPIF1	2.181078340793256	28562619	112
chr1	SESN2	2.728678929696927	28586037	238
chr1	MED18	2.759116423766387	28655512	179
chr1	PHACTR4	2.9142885349946206	28696113	761
chr1	RCC1	3.0541548941422296	28832454	202
chr1	TRNAU1AP	2.1609910679586823	28879596	126
chr1	TAF12	2.938133027861437	28915834	204
chr1	RAB42	1.266479342064153	28918711	13
chr1	GMEB1	1.8715716500361148	28995243	233
chr1	YTHDF2	1.2200573654067128	29063132	240
chr1	OPRD1	2.2499894391148265	29138653	419
chr1	EPB41	2.5084030103273594	29213602	883
chr1	TMEM200B	1.6535981212666788	29445939	81
chr1	SRSF4	2.1460403170521767	29474254	204
chr1	MECR	1.5969807687949433	29519384	199
chr1	PTPRU	3.4707776023466854	29563027	3733
chr1	MATN1	2.4628422911903765	31184123	4236
chr1	LAPTM5	1.3730891617602827	31205315	314
chr1	SDC3	1.5058412300931536	31342313	560
chr1	PUM1	1.9706730496096163	31404352	987
chr1	NKAIN1	2.7742282341831785	31652591	698
chr1	SNRNP40	2.507791557445414	31732416	218
chr1	ZCCHC17	2.62856822210166	31769841	255
chr1	FABP3	2.6273935828374886	31838471	133
chr1	SERINC2	1.8936390911932497	31882411	611
chr1	AC114494.1	1.1473876643066983	31902191	4
chr1	TINAGL1	1.7110982577177554	32042115	519
chr1	HCRTR1	1.1028338352136118	32083286	102
chr1	PEF1	0.9667049434269877	32095462	53
chr1	COL16A1	1.5578794171046535	32117847	262
chr1	BAI2	1.4375037191992357	32192717	238
chr1	SPOCD1	1.7418945387710536	32256022	363
chr1	PTP4A2	1.4771047518429028	32372021	407
chr1	AL136115.1	0.03954539583627465	32379173	3
chr1	KHDRBS1	1.9567674401540673	32479429	237
chr1	TMEM39B	1.2874984550924544	32537631	116
chr1	KPNA6	1.4660005619676575	32573638	211
chr1	TXLNA	1.5365908247753244	32645286	79
chr1	CCDC28B	0.8273795572689223	32665986	17
chr1	IQCC	0.6904571260218153	32671235	12
chr1	DCDC2B	1.235342747550649	32674694	23
chr1	TMEM234	0.7890156979354201	32680072	26
chr1	EIF3I	1.2287411199393126	32687528	53
chr1	FAM167B	0.6438899705360684	32712833	43
chr1	LCK	1.3056212196257506	32716839	110
chr1	HDAC1	1.1371676340915204	32757686	100
chr1	MARCKSL1	1.0996634642335894	32799432	18
chr1	TSSK3	1.2582529354608731	32817121	36
chr1	FAM229A	0	32826870	3
chr1	BSDC1	1.8154192858089384	32830703	150
chr1	RP1-27O5.3	2.045538468359649	32930657	283
chr1	ZBTB8B	1.3551794781626398	32930669	70
chr1	ZBTB8A	1.409799272685919	33005027	242
chr1	ZBTB8OS	1.4203387087863737	33065772	229
chr1	RBBP4	1.9963370166661352	33116742	149
chr1	SYNC	1.7334954845773278	33145506	178
chr1	KIAA1522	1.7209150901890775	33207485	190
chr1	YARS	1.2974126633010183	33240839	142
chr1	S100PBP	1.8503037336421058	33282367	170
chr1	FNDC5	1.4743333656545785	33327868	58
chr1	HPCA	0.9825242398285593	33351594	56
chr1	TMEM54	1.4136828069666216	33360194	78
chr1	RNF19B	1.337113787187878	33402045	201
chr1	FKSG48	0.8619500557951104	33439267	89
chr1	AK2	1.3013175938164963	33473584	318
chr1	ADC	1.6188975600619426	33546704	175
chr1	TRIM62	2.0014233414032607	33611002	365
chr1	ZNF362	1.5111293207200889	33722145	300
chr1	A3GALT2	1.5172921656477238	33772366	80
chr1	PHC2	2.035484395412865	33789223	650
chr1	ZSCAN20	1.5652602857752957	33938245	202
chr1	CSMD2	2.735886115418549	33979608	2975
chr1	HMGB4	0.9669302583383467	34326075	17
chr1	C1orf94	1.8872174297749067	34632483	1645
chr1	SMIM12	2.094314190814794	35178337	2044
chr1	GJB5	1.0317249087540081	35220647	20
chr1	GJB4	1.1422569275089325	35225341	33
chr1	GJB3	0.20029217896741178	35246789	20
chr1	GJA4	0.431219993056022	35258598	15
chr1	DLGAP3	1.8863173025865951	35331036	244
chr1	ZMYM6	1.273121262488804	35449522	243
chr1	ZMYM6NB	0.5953355886354283	35447135	12
chr1	ZMYM1	1.988636815486117	35525386	284
chr1	SFPQ	1.6493624546602546	35641978	349
chr1	ZMYM4	2.462950728634161	35734567	581
chr1	KIAA0319L	3.0187945475016575	35899090	370
chr1	NCDN	2.6212279311459556	36023073	31
chr1	TFAP2E	3.310228672627966	36038970	72
chr1	PSMB2	2.0369099644011532	36067184	221
chr1	C1orf216	1.7980787609900175	36179475	131
chr1	CLSPN	1.6237059739276356	36185818	171
chr1	AGO4	1.799297209026939	36273772	183
chr1	AGO1	1.0749278167163607	36335408	174
chr1	AGO3	2.393974601211138	36396318	308
chr1	TEKT2	0.7881322393433353	36549675	25
chr1	ADPRHL2	1.021983915884101	36554475	15
chr1	COL8A2	1.18942609671652	36560836	127
chr1	TRAPPC3	0.9714694134886713	36602172	71
chr1	MAP7D1	0.9047190370203523	36621179	136
chr1	THRAP3	1.658423042276602	36690016	263
chr1	SH3D21	1.2660287592137764	36771987	42
chr1	EVA1B	0.31404519596685	36787631	3
chr1	RP11-268J15.5	1.2424984474318375	36789334	41
chr1	STK40	1.502806259481654	36805224	130
chr1	LSM10	1.133250840854299	36856838	134
chr1	OSCP1	1.1262081508371011	36881427	304
chr1	MRPS15	1.0842124807154343	36921318	68
chr1	CSF3R	3.084718912804971	36931643	764
chr1	GRIK3	3.349556477521287	37261127	2483
chr1	ZC3H12A	2.312710100301448	37940152	1284
chr1	MEAF6	1.5248113062472135	37958175	179
chr1	SNIP1	1.0407930346458025	38000049	121
chr1	DNALI1	1.1234606002551035	38022519	51
chr1	GNL2	1.8084651529932163	38032416	148
chr1	RSPO1	2.6787268426428352	38076950	260
chr1	C1orf109	4.785368054606861	38147241	172
chr1	CDCA8	5.122634414042187	38158089	102
chr1	EPHA10	5.108167723572379	38179551	396
chr1	MANEAL	1.6969897998823855	38259473	93
chr1	YRDC	1.6863162340034321	38268615	14
chr1	C1orf122	0.4859253147918587	38272650	5
chr1	MTF1	1.6163910626807554	38275238	155
chr1	AL929472.1	0.5976612254248657	38292231	6
chr1	INPP5B	2.199978211724077	38326368	417
chr1	SF3A3	1.7692012293125463	38422646	222
chr1	FHL3	1.35214973011571	38462441	53
chr1	UTP11L	2.2422320949841428	38474929	94
chr1	POU3F1	2.3149527921727535	38509522	1750
chr1	RRAGC	3.1936592311111274	39303869	1657
chr1	MYCBP	0.1859162947624769	39328635	11
chr1	GJA9	1.0879661608035314	39330174	83
chr1	RHBDL2	2.5919976044493453	39351478	440
chr1	AKIRIN1	2.1745868658188354	39456894	267
chr1	NDUFS5	2.2674631074369116	39491989	259
chr1	MACF1	2.6307767188160107	39546987	1639
chr1	KIAA0754	1.3529565774177987	39876150	26
chr1	BMP8A	1.856476217540127	39957317	270
chr1	PABPC4	2.165783456346202	40026487	256
chr1	HEYL	2.8774564759312455	40089824	238
chr1	NT5C1A	1.428540405966433	40124792	103
chr1	HPCAL4	1.5489385048608206	40144319	115
chr1	PPIE	2.378149941825807	40157853	305
chr1	BMP8B	2.274223085194203	40222853	351
chr1	OXCT2	0.18805251851440863	40235194	3
chr1	TRIT1	1.4379177897015991	40306722	388
chr1	MYCL	1.833010725776604	40361097	176
chr1	MFSD2A	1.7857311782126084	40420801	277
chr1	CAP1	2.280995385513257	40505904	385
chr1	PPT1	1.6104069216526304	40538378	304
chr1	RLF	2.7784292878335393	40627044	486
chr1	TMCO2	0.6702869392755201	40711618	57
chr1	ZMPSTE24	1.4287921181971446	40723778	139
chr1	COL9A2	1.2461397551509599	40766158	179
chr1	SMAP2	3.269047430335769	40810521	434
chr1	ZFP69B	1.8714359632966346	40915773	214
chr1	ZFP69	2.0038172378026635	40942886	160
chr1	EXO5	1.4386898711020786	40974412	127
chr1	ZNF684	1.5236916362516597	40997232	383
chr1	RIMS3	2.1767671125874535	41086350	440
chr1	NFYC	1.9263879456988624	41157319	415
chr1	KCNQ4	2.1166134211228216	41249683	340
chr1	CITED4	2.7311249562567625	41326728	449
chr1	CTPS1	3.8164653886032984	41445006	518
chr1	SLFNL1	1.7627051477062845	41481268	60
chr1	SCMH1	2.879380009700675	41492871	1152
chr1	FOXO6	2.609778710788501	41827593	651
chr1	EDN2	2.7279099644801845	41944445	355
chr1	HIVEP3	3.7683596818035787	41972035	2557
chr1	GUCA2B	2.2239674758540753	42619091	313
chr1	GUCA2A	1.5520330734312209	42628361	36
