Chromosome	Gene	-log10(pvalue)	Gene_start	Number_of_SNP
chr1	SKI	1.9160282229678731	2160133	452
chr1	MORN1	1.397856415029901	2252691	495
chr1	AL589739.1	0	2258580	4
chr1	RER1	1.3190855111524793	2323266	63
chr1	PEX10	2.9502549396670825	2336235	86
chr1	PLCH2	2.683662652484262	2357418	506
chr1	PANK4	2.0651093458906655	2439971	115
chr1	HES5	1.6742093978768247	2460183	82
chr1	TNFRSF14	2.6002276650723815	2487077	149
chr1	FAM213B	1.2006304985460141	2517929	63
chr1	MMEL1	2.2337121048900515	2522077	259
chr1	TTC34	2.006997398578397	2567414	1094
chr1	ACTRT2	2.0452853314298225	2938045	797
chr1	PRDM16	3.588728879467671	2985731	2259
chr1	ARHGEF16	1.4418568600988362	3370989	179
chr1	MEGF6	1.9960571863507555	3406483	753
chr1	TPRG1L	1.2243720786359078	3541565	57
chr1	WRAP73	2.4568374723721544	3547330	85
chr1	TP73	2.037191855571947	3569083	445
chr1	CCDC27	1.2620658720440272	3668961	119
chr1	SMIM1	1.1091080522575556	3689351	51
chr1	LRRC47	2.4417523620518113	3696783	163
chr1	CEP104	2.953430703671381	3728644	419
chr1	DFFB	1.8135381041054894	3773844	226
chr1	C1orf174	1.9164973801697325	3805688	1952
chr1	AJAP1	2.8084372124082737	4714791	7254
chr1	NPHP4	2.4694942256630736	5922870	3249
chr1	KCNAB2	1.9357067744130214	6051525	485
chr1	AL035406.1	0.23459373996851385	6100629	4
chr1	CHD5	2.001342305014713	6161852	421
chr1	RPL22	1.7425398269870063	6241328	80
chr1	RNF207	1.1613592947179052	6265534	53
chr1	ICMT	1.4137143309370546	6281252	62
chr1	HES3	0.9532590781475181	6304251	19
chr1	GPR153	1.1852630995771427	6307405	65
chr1	ACOT7	2.043379254924243	6324328	756
chr1	HES2	1.1058418409252175	6472477	111
chr1	ESPN	1.3975232859643212	6484847	160
chr1	TNFRSF25	0.557031336981738	6521210	20
chr1	PLEKHG5	1.7197039672765078	6526151	246
chr1	NOL9	1.0723868900512317	6581406	191
chr1	TAS1R1	1.2431753074305998	6615240	94
chr1	ZBTB48	0.8752773786595784	6640060	27
chr1	KLHL21	1.1379766111742824	6650783	97
chr1	PHF13	1.0167730143650493	6673744	38
chr1	THAP3	0.9452682391902383	6684925	40
chr1	DNAJC11	1.765733343299253	6694227	466
chr1	CAMTA1	2.687188173787912	6845383	4474
chr1	VAMP3	1.20430694323774	7831328	57
chr1	PER3	1.3213159469130795	7844379	330
chr1	UTS2	1.1111417844151281	7903142	304
chr1	TNFRSF9	1.1953086758883353	7979906	282
chr1	PARK7	1.1486621398519639	8014350	152
chr1	ERRFI1	1.8712680289038361	8064463	668
chr1	SLC45A1	3.161582900874735	8377885	843
chr1	RERE	2.632742878226429	8412456	1329
chr1	ENO1	1.7642796979141682	8921060	280
chr1	CA6	2.1877760481156368	9005925	446
chr1	SLC2A7	3.0617295152829533	9063358	182
chr1	SLC2A5	1.5005699968354451	9095165	375
chr1	GPR157	1.8033623976655888	9160363	353
chr1	H6PD	2.5540348130292925	9294833	573
chr1	SPSB1	2.173579195980888	9352938	1057
chr1	SLC25A33	2.211769389158627	9599540	398
chr1	TMEM201	1.0791881948149256	9648931	117
chr1	PIK3CD	1.8030394210551566	9711789	333
chr1	C1orf200	0.8727526208844546	9712667	10
chr1	CLSTN1	1.8663365691538856	9789083	323
chr1	CTNNBIP1	1.3522024961170276	9908333	246
chr1	LZIC	1.448403635295895	9982172	106
chr1	NMNAT1	1.2372636841970872	10003485	174
chr1	RBP7	1.5636576272352438	10057263	113
chr1	UBE4B	1.8454877769877005	10092889	692
chr1	KIF1B	1.7480091345289765	10270862	937
chr1	PGD	1.3540631706499604	10458648	146
chr1	APITD1	1.2231557693165909	10490158	34
chr1	APITD1-CORT	1.3719412592437659	10490158	101
chr1	CORT	0.5001535220792583	10509775	5
chr1	DFFA	2.1848607518094503	10516578	65
chr1	PEX14	2.6855386665577745	10532344	630
chr1	CASZ1	2.1721953582169267	10696660	1019
chr1	C1orf127	1.5570642260361582	11006527	582
chr1	TARDBP	1.6231129433359515	11072413	86
chr1	MASP2	1.9231084443705333	11086579	98
chr1	SRM	1.1608476384503998	11114640	33
chr1	EXOSC10	1.5101244520346742	11126674	166
chr1	MTOR	1.7731037931308582	11166591	505
chr1	ANGPTL7	1.2567160643925086	11249397	22
chr1	UBIAD1	1.8800845897420089	11333262	432
chr1	PTCHD2	1.9912465748758252	11539222	973
chr1	FBXO2	1.4148157276802393	11708423	287
chr1	FBXO44	1.0667542227264444	11714431	37
chr1	FBXO6	1.1549627654696928	11724180	62
chr1	MAD2L2	0.5927893098819221	11734536	79
chr1	DRAXIN	1.0692297129531019	11751785	167
chr1	AGTRAP	1.3669144983484969	11796140	102
chr1	C1orf167	1.8894944634546542	11821843	177
chr1	MTHFR	2.030213790499115	11845779	103
chr1	CLCN6	1.7149380240648382	11866206	255
chr1	NPPA	1.239355901988063	11905765	51
chr1	NPPB	1.78878865635082	11917520	222
chr1	KIAA2013	1.6641350763385705	11979647	284
chr1	PLOD1	1.3927358938486458	11994261	203
chr1	MFN2	1.351140593616792	12040237	156
chr1	MIIP	0.8550616980689429	12079522	86
chr1	TNFRSF8	2.2474621897870732	12123433	399
chr1	TNFRSF1B	1.7232487626391666	12227059	274
chr1	VPS13D	1.8871805849918513	12290123	1089
chr1	DHRS3	1.8347823913768568	12627938	506
chr1	AADACL4	1.9874242739856136	12704565	241
chr1	AADACL3	1.1320554628048136	12776117	165
chr1	C1orf158	0.8085601644301206	12806162	134
chr1	PRAMEF12	0.5866415514403258	12834983	49
chr1	PRAMEF1	0.5057730295991043	12851545	239
chr1	PRAMEF11	0.20745423334282131	12884467	47
chr1	HNRNPCL1	0.3347831059662002	12907260	83
chr1	PRAMEF2	0.46164749101447544	12916940	67
chr1	PRAMEF4	0.3196853404745922	12939044	6
chr1	PRAMEF6	0.37155078384137497	12998180	17
chr1	PRAMEF26	0.6517964192231415	13216355	79
chr1	PRAMEF18	0.12177990265743793	13474688	4
chr1	PRAMEF16	0	13495253	1
chr1	PRAMEF19	0	13694888	3
chr1	PRAMEF20	0	13736906	1
chr1	LRRC38	2.4351895893660287	13801444	582
chr1	PDPN	2.1254202016751798	13909959	635
chr1	PRDM2	2.9576686745805256	14026692	3178
chr1	KAZN	3.305887280603736	14925199	4758
chr1	TMEM51	3.4556057369173026	15479027	673
chr1	C1orf195	1.6595340718296139	15490839	35
chr1	FHAD1	2.8010736240238807	15573767	803
chr1	EFHD2	1.5081664424697065	15736390	127
chr1	CTRC	1.6823168390593048	15764934	68
chr1	CELA2A	1.3815680101774233	15783222	73
chr1	CELA2B	1.3323425565690143	15792403	124
chr1	CASP9	1.3758840200426383	15817326	207
chr1	DNAJC16	1.857569859789757	15853307	348
chr1	AGMAT	0.6533341332577989	15898847	86
chr1	DDI2	2.013034891042674	15943994	271
chr1	RSC1A1	0.5935875720252403	15986363	5
chr1	PLEKHM2	2.2023440536304744	16010826	270
chr1	SLC25A34	0.7650046483758234	16062899	16
chr1	TMEM82	0.7875806560858987	16068916	57
chr1	FBLIM1	1.1670161777931758	16083101	346
chr1	SPEN	1.3445234851813863	16174358	524
chr1	ZBTB17	1.7771639192998772	16268363	184
chr1	C1orf64	1.4603707164812636	16330730	154
chr1	HSPB7	0.8809685762027106	16340522	72
chr1	CLCNKA	1.177763249976131	16345369	151
chr1	CLCNKB	1.249865892184829	16370271	225
chr1	FAM131C	1.4495111483975156	16384263	240
chr1	EPHA2	1.4099733712658493	16450831	322
chr1	ARHGEF19	1.3793903328869432	16524348	247
chr1	C1orf134	0.7453141885546467	16555367	38
chr1	RSG1	1.1990218737603677	16558194	34
chr1	FBXO42	1.7422662420452257	16573333	382
chr1	SZRD1	1.1550862640317603	16679069	149
chr1	SPATA21	1.2084019729263715	16713611	227
chr1	NECAP2	1.602082575228208	16767166	291
chr1	AL355149.2	1.1825298287049368	16865560	157
chr1	NBPF1	0.3503935487379945	16888813	6
chr1	AL137798.1	0.4119816587989907	16999497	7
chr1	AL021920.2	0	17060446	1
chr1	CROCC	1.8232259879177766	17066767	181
chr1	MFAP2	1.2276518842804731	17300996	37
chr1	ATP13A2	2.1624860547064566	17312452	100
chr1	SDHB	1.648534176271571	17345216	209
chr1	PADI2	1.5786379635446979	17393255	587
chr1	PADI1	1.995992635721387	17531620	488
chr1	PADI3	2.094709381922397	17575592	328
chr1	PADI4	3.4310770073447063	17634689	461
chr1	AC004824.2	1.416584699740252	17655506	180
chr1	RCC2	2.010130774569473	17733255	569
chr1	ARHGEF10L	2.53644293560109	17866329	908
chr1	ACTL8	1.9314801939990889	18081807	1121
chr1	IGSF21	2.7473119837442708	18434239	2248
chr1	KLHDC7A	2.690972728004592	18807423	735
chr1	PAX7	1.961292431671853	18957499	1157
chr1	TAS1R2	1.592695793100457	19166092	423
chr1	RP13-279N23.2	1.0563195390255407	19175766	181
chr1	ALDH4A1	1.7203535850624627	19197925	206
chr1	IFFO2	2.1718184773739893	19230774	693
chr1	UBR4	1.570120194989863	19400999	759
chr1	EMC1	1.3324153777772945	19542157	168
chr1	MRTO4	1.7593159915812666	19578032	135
chr1	AKR7A3	1.5911599016900357	19609051	166
chr1	AKR7A2	3.1440134873272054	19630458	65
chr1	PQLC2	1.2739088093666764	19638819	153
chr1	CAPZB	2.210953318833884	19665266	1143
chr1	MINOS1-NBL1	1.4655575772040192	19923472	369
chr1	MINOS1	1.6328957817492402	19923476	112
chr1	NBL1	1.368150537840182	19967047	113
chr1	HTR6	1.6064160231931366	19991779	90
chr1	TMCO4	1.6063230345931856	20008705	545
chr1	RNF186	2.426451936447499	20140522	256
chr1	OTUD3	2.3722880748764443	20209005	305
chr1	PLA2G2E	1.51861757490542	20246501	181
chr1	PLA2G2A	2.1726307269461747	20301924	283
chr1	PLA2G5	2.7830691462589785	20354671	445
chr1	PLA2G2D	1.5012181822699189	20438431	116
chr1	PLA2G2F	0.9991409471078198	20465818	91
chr1	PLA2G2C	0.9577317128797423	20487745	102
chr1	UBXN10	1.9639662721737987	20512577	228
chr1	VWA5B1	2.643779041098895	20617411	868
chr1	CAMK2N1	1.5961025638774116	20808883	244
chr1	MUL1	2.033999142371216	20825942	148
chr1	FAM43B	1.8636028966089506	20878931	257
chr1	CDA	1.3992524734497858	20915440	399
chr1	PINK1	1.3812847536175519	20959947	141
chr1	DDOST	0.9781452927404848	20978269	53
chr1	KIF17	1.9367454743403383	20990506	290
chr1	SH2D5	1.4672991151178816	21046224	74
chr1	HP1BP3	1.5154524698571477	21069153	206
chr1	EIF4G3	1.801092853417527	21132962	1350
chr1	ECE1	1.821060443907566	21543739	895
chr1	NBPF3	1.689574354989128	21766620	621
chr1	ALPL	1.2583379520172664	21835857	553
chr1	RAP1GAP	2.0280356723675443	21922707	485
chr1	USP48	1.5197155998797964	22004790	607
chr1	LDLRAD2	0.9763072942963527	22138757	133
chr1	HSPG2	1.797658833977078	22148737	671
chr1	CELA3B	2.2351494037963002	22303513	434
chr1	CELA3A	1.6875200973547142	22328148	210
chr1	CDC42	2.0193913119735383	22379119	381
chr1	WNT4	2.3313308591102158	22443797	1164
chr1	ZBTB40	2.5439544911896865	22778343	1038
chr1	EPHA8	1.6762406596185866	22890056	408
chr1	C1QA	1.5486066022983134	22962998	91
chr1	C1QC	1.02000026650045	22970122	52
chr1	C1QB	1.2819594228317623	22979254	151
chr1	EPHB2	2.348502955188221	23037331	842
chr1	LACTBL1	1.4002249693885798	23279535	234
chr1	C1orf234	1.0768161026668792	23337326	83
chr1	KDM1A	1.1250904766527827	23345940	143
chr1	LUZP1	1.5870457967711031	23410515	319
chr1	HTR1D	1.3360146624802205	23516992	288
chr1	HNRNPR	2.0188952365362365	23630263	277
chr1	ZNF436	1.5363712498828492	23685940	71
chr1	C1orf213	1.3270869883414416	23695489	20
chr1	TCEA3	1.9089594406279775	23707553	183
chr1	ASAP3	2.59657403520172	23755055	281
chr1	E2F2	1.724520489702804	23832921	189
chr1	ID3	2.606147638609289	23884408	90
chr1	MDS2	2.6416063385577337	23907984	346
chr1	RPL11	1.3424431800055365	24018268	192
chr1	TCEB3	1.7838261775221196	24069644	107
chr1	PITHD1	1.7738358965662353	24104894	39
chr1	LYPLA2	0.744153640379781	24117459	9
chr1	GALE	0.9633551382224439	24122088	5
chr1	HMGCL	1.8534657787780233	24128374	92
chr1	FUCA1	1.7962629080922787	24171566	99
chr1	CNR2	1.9113784819255455	24197015	297
chr1	PNRC2	0.6330487391242712	24285598	6
chr1	SRSF10	0.7346137178287618	24291293	26
chr1	MYOM3	2.0897780641447254	24382524	400
chr1	IL22RA1	1.4959343961864626	24446260	146
chr1	IFNLR1	1.4959684115975371	24480646	517
chr1	GRHL3	1.8050501945042559	24645811	445
chr1	STPG1	1.5685574265860316	24683488	239
chr1	NIPAL3	1.377356041441643	24742283	289
chr1	RCAN3	2.6904571260218155	24829386	260
chr1	NCMAP	2.377504139865761	24882601	437
chr1	SRRM1	2.080269909070249	24958206	269
chr1	CLIC4	2.241790052591348	25071847	507
chr1	RUNX3	1.6185383443472967	25226001	1127
chr1	SYF2	1.9598290042455488	25549169	585
chr1	C1orf63	1.2001041844704352	25568727	86
chr1	RHD	1.3849879008657138	25598883	69
chr1	TMEM50A	0.9717989499710153	25664407	50
chr1	RHCE	1.3123257037619438	25688739	137
chr1	TMEM57	1.530362046106348	25757387	209
chr1	LDLRAP1	1.4826668391660622	25870070	222
chr1	MAN1C1	3.120630549524973	25943958	605
chr1	SEPN1	0.4005077505199254	26126666	76
chr1	RP1-317E23.6	0.8240158801308979	26137960	31
chr1	AL020996.1	0.5269935743007165	26145211	8
chr1	MTFR1L	0.7158129906562576	26145130	35
chr1	AUNIP	0.7304567029273875	26158413	101
chr1	PAQR7	1.3848856909946352	26187700	37
chr1	STMN1	1.5939079701177055	26210671	119
chr1	PAFAH2	1.7222464268288507	26286257	285
chr1	EXTL1	0.8549621698522483	26346374	76
chr1	SLC30A2	0.8683300188031362	26363742	37
chr1	TRIM63	1.191058163510795	26377794	156
chr1	PDIK1L	1.355580122035374	26437663	180
chr1	FAM110D	0.9052110408006184	26485510	90
chr1	ZNF593	1.3442988843556272	26496361	40
chr1	CNKSR1	1.2597233883056154	26503893	58
chr1	CATSPER4	1.0915959497387429	26517051	148
chr1	CEP85	1.690086781862016	26560690	294
chr1	SH3BGRL3	1.556211482182295	26605666	8
chr1	UBXN11	1.8526731065200441	26607818	186
chr1	CD52	1.405664917327505	26644447	19
chr1	AIM1L	1.570121808996489	26648349	173
chr1	ZNF683	2.1665341398293076	26688124	194
chr1	LIN28A	1.5210023097312317	26737268	188
chr1	DHDDS	1.6489016749866228	26758772	122
chr1	HMGN2	1.6807544056489099	26798940	107
chr1	RPS6KA1	1.9662747557943105	26856251	382
chr1	ARID1A	3.462013513520118	27022523	341
chr1	PIGV	3.2430514034469433	27113962	49
chr1	ZDHHC18	3.2853174145460295	27153200	129
chr1	SFN	3.072128382949939	27189632	26
chr1	GPN2	3.11678557881688	27202623	50
chr1	GPATCH3	1.6671476426376943	27216978	22
chr1	NUDC	3.2417461004153445	27226728	126
chr1	NR0B2	0.3467662545689773	27237979	7
chr1	C1orf172	3.333869687925339	27276052	56
chr1	TRNP1	1.6016102951471316	27320197	57
chr1	FAM46B	1.740513633054668	27331510	187
chr1	SLC9A1	1.9594016152270888	27425305	418
chr1	WDTC1	2.228643322344859	27561006	312
chr1	TMEM222	1.8281244203125546	27648650	72
chr1	SYTL1	1.9998480235256657	27668512	58
chr1	MAP3K6	2.1732923664841843	27681674	52
chr1	FCN3	0.8557590349733362	27695602	28
chr1	CD164L2	1.7365106933070036	27705665	20
chr1	GPR3	1.7664429708223666	27719147	27
chr1	WASF2	2.5983272487987574	27730729	306
chr1	AHDC1	2.8882604278929356	27860545	214
chr1	FGR	1.9136971297138052	27938574	120
chr1	IFI6	1.4191935880821598	27992571	164
chr1	FAM76A	1.6415473561017702	28052489	207
chr1	STX12	1.2250095829912333	28099693	128
chr1	PPP1R8	1.4117652798110676	28157288	86
chr1	THEMIS2	1.5849231018447596	28199054	109
chr1	RPA2	1.4500629053965195	28218034	182
chr1	SMPDL3B	1.8141491610149318	28261503	193
chr1	XKR8	1.3014749410643949	28285972	43
chr1	EYA3	1.8351892942021621	28296854	671
chr1	PTAFR	1.7827898792190193	28473676	232
chr1	DNAJC8	1.4817849048801794	28525966	173
chr1	AL353354.2	0	28527069	1
chr1	ATPIF1	1.2969709977889332	28562619	109
chr1	SESN2	1.5649427892946906	28586037	221
chr1	MED18	1.4023958499838822	28655512	165
chr1	PHACTR4	2.080428243737533	28696113	731
chr1	RCC1	1.487219578764643	28832454	188
chr1	TRNAU1AP	1.6609005096096232	28879596	118
chr1	TAF12	2.5617916088558865	28915834	186
chr1	RAB42	1.1078853534113642	28918711	12
chr1	GMEB1	1.6717896616643424	28995243	211
chr1	YTHDF2	1.5753992761959814	29063132	220
chr1	OPRD1	1.7808190469471405	29138653	387
chr1	EPB41	1.4557148626774943	29213602	808
chr1	TMEM200B	0.8363407842488385	29445939	78
chr1	SRSF4	1.205686961173761	29474254	187
chr1	MECR	1.082711429289807	29519384	186
chr1	PTPRU	3.1670978456750696	29563027	3496
chr1	MATN1	2.5110574672278134	31184123	4038
chr1	LAPTM5	1.8903269781702652	31205315	304
chr1	SDC3	2.063200340593141	31342313	517
chr1	PUM1	1.7695357508516767	31404352	943
chr1	NKAIN1	1.908970005647141	31652591	662
chr1	SNRNP40	1.513519930806081	31732416	203
chr1	ZCCHC17	1.3317604260615235	31769841	242
chr1	FABP3	1.0198452201916786	31838471	123
chr1	SERINC2	1.4926137438555194	31882411	578
chr1	AC114494.1	0.04534751711809934	31902191	3
chr1	TINAGL1	2.07738870848808	32042115	499
chr1	HCRTR1	0.869408948036626	32083286	95
chr1	PEF1	0.9841877409894888	32095462	49
chr1	COL16A1	1.9088326804410185	32117847	234
chr1	BAI2	1.3520217503397354	32192717	206
chr1	SPOCD1	2.2314188712712895	32256022	331
chr1	PTP4A2	2.0758008590049384	32372021	364
chr1	AL136115.1	0.17577260383812793	32379173	3
chr1	KHDRBS1	2.4816440141089067	32479429	215
chr1	TMEM39B	2.5058161756059016	32537631	107
chr1	KPNA6	1.8275021527480435	32573638	190
chr1	TXLNA	1.0371909093223894	32645286	71
chr1	CCDC28B	0.9288915782175503	32665986	14
chr1	IQCC	0.511164547362747	32671235	11
chr1	DCDC2B	1.3269007240804704	32674694	23
chr1	TMEM234	0.8899020951498338	32680072	22
chr1	EIF3I	1.4775714170272733	32687528	46
chr1	FAM167B	1.2878185113932268	32712833	37
chr1	LCK	1.3329862334168672	32716839	100
chr1	HDAC1	1.6996023629597279	32757686	91
chr1	MARCKSL1	0.9296591569928575	32799432	14
chr1	TSSK3	1.0419949913452389	32817121	27
chr1	FAM229A	0.5681652014368219	32826870	3
chr1	BSDC1	1.5479496918250475	32830703	123
chr1	RP1-27O5.3	1.2284404441964003	32930657	266
chr1	ZBTB8B	0.9197307625797158	32930669	60
chr1	ZBTB8A	1.2100845307182004	33005027	226
chr1	ZBTB8OS	2.0754798507088066	33065772	196
chr1	RBBP4	1.9042206231095995	33116742	135
chr1	SYNC	1.8805692401006318	33145506	156
chr1	KIAA1522	1.455727265067246	33207485	173
chr1	YARS	1.1280612204162852	33240839	130
chr1	S100PBP	1.8554662661634902	33282367	153
chr1	FNDC5	1.1112685781895533	33327868	53
chr1	HPCA	1.1792784870656412	33351594	49
chr1	TMEM54	0.9082275585803171	33360194	72
chr1	RNF19B	1.4649541191648474	33402045	182
chr1	FKSG48	1.6553248392572555	33439267	84
chr1	AK2	2.003178478229424	33473584	280
chr1	ADC	1.5956538558974893	33546704	153
chr1	TRIM62	1.789066464642378	33611002	334
chr1	ZNF362	1.8002256308639355	33722145	279
chr1	A3GALT2	1.2940337105833195	33772366	74
chr1	PHC2	2.5971748308164258	33789223	615
chr1	ZSCAN20	1.867423352753543	33938245	186
chr1	CSMD2	3.109515266991472	33979608	2779
chr1	HMGB4	0.8611922347822856	34326075	14
chr1	C1orf94	1.7972284213457017	34632483	1524
chr1	SMIM12	2.363682645353141	35178337	1924
chr1	GJB5	0.4518858655982881	35220647	20
chr1	GJB4	1.540452219412533	35225341	28
chr1	GJB3	0.5747854230729288	35246789	19
chr1	GJA4	0.5140969458376282	35258598	14
chr1	DLGAP3	1.3704986582327348	35331036	229
chr1	ZMYM6	1.7758581598655818	35449522	234
chr1	ZMYM6NB	0.3238269412941324	35447135	12
chr1	ZMYM1	1.2501168837080232	35525386	265
chr1	SFPQ	1.4805986377819775	35641978	328
chr1	ZMYM4	1.6347423271208017	35734567	545
chr1	KIAA0319L	1.239757001727651	35899090	327
chr1	NCDN	1.3970582009713868	36023073	29
chr1	TFAP2E	0.8131989991799848	36038970	70
chr1	PSMB2	1.0548299102315464	36067184	209
chr1	C1orf216	1.0293049907842955	36179475	120
chr1	CLSPN	1.379020130233131	36185818	165
chr1	AGO4	1.4818389031782393	36273772	170
chr1	AGO1	2.4829559336495532	36335408	156
chr1	AGO3	1.45165481212877	36396318	286
chr1	TEKT2	0.935489599084528	36549675	20
chr1	ADPRHL2	0.4169441244852052	36554475	10
chr1	COL8A2	1.8451501584792558	36560836	114
chr1	TRAPPC3	1.0688259882409372	36602172	66
chr1	MAP7D1	1.808445594395013	36621179	119
chr1	THRAP3	3.176467738357474	36690016	241
chr1	SH3D21	0.9184978718452699	36771987	41
chr1	EVA1B	0.18841829210578168	36787631	3
chr1	RP11-268J15.5	0.8012549635754705	36789334	41
chr1	STK40	1.2447312936494677	36805224	125
chr1	LSM10	1.8997742438425724	36856838	119
chr1	OSCP1	1.6549204736851333	36881427	276
chr1	MRPS15	1.3468695273753686	36921318	63
chr1	CSF3R	1.6910047069610543	36931643	685
chr1	GRIK3	2.3013740931742563	37261127	2256
chr1	ZC3H12A	1.4699937916976247	37940152	1215
chr1	MEAF6	0.8122170895776408	37958175	171
chr1	SNIP1	0.9011383165154716	38000049	113
chr1	DNALI1	1.1861142449997881	38022519	47
chr1	GNL2	1.1891413662815205	38032416	133
chr1	RSPO1	1.7225718749708103	38076950	239
chr1	C1orf109	1.6548635786545696	38147241	151
chr1	CDCA8	0.9273200659647768	38158089	92
chr1	EPHA10	1.6243217574187312	38179551	366
chr1	MANEAL	0.9892634237362319	38259473	89
chr1	YRDC	0.8756196906673606	38268615	14
chr1	C1orf122	0.15926989883731754	38272650	4
chr1	MTF1	1.6687043278118006	38275238	145
chr1	AL929472.1	0.45112189170387573	38292231	5
chr1	INPP5B	1.9101019503169077	38326368	387
chr1	SF3A3	1.4988160843866807	38422646	209
chr1	FHL3	1.1373648212047094	38462441	52
chr1	UTP11L	2.237596051195195	38474929	85
chr1	POU3F1	2.991813030279469	38509522	1681
chr1	RRAGC	2.330024272997781	39303869	1565
chr1	MYCBP	0.513301800558018	39328635	10
chr1	GJA9	1.7134110614484608	39330174	79
chr1	RHBDL2	1.7043867243449449	39351478	411
chr1	AKIRIN1	1.679789301780927	39456894	236
chr1	NDUFS5	1.4201969748541081	39491989	234
chr1	MACF1	2.4156925267613993	39546987	1545
chr1	KIAA0754	0.5609801108198997	39876150	24
chr1	BMP8A	1.6364989579746898	39957317	254
chr1	PABPC4	2.3550201108982165	40026487	235
chr1	HEYL	2.3118321062548173	40089824	227
chr1	NT5C1A	1.5610275251243249	40124792	96
chr1	HPCAL4	1.718973454185141	40144319	112
chr1	PPIE	1.5380949813940856	40157853	280
chr1	BMP8B	1.4370246993114477	40222853	328
chr1	OXCT2	0.0498158146476591	40235194	3
chr1	TRIT1	2.729046469251586	40306722	328
chr1	MYCL	2.36723506500336	40361097	162
chr1	MFSD2A	1.9223959318143788	40420801	230
chr1	CAP1	1.237002770561637	40505904	361
chr1	PPT1	1.2150049143051176	40538378	239
chr1	RLF	1.9388341291848283	40627044	254
chr1	TMCO2	0.8417279953479162	40711618	30
chr1	ZMPSTE24	1.203816430063802	40723778	104
chr1	COL9A2	1.380924417346938	40766158	175
chr1	SMAP2	1.9330147459901013	40810521	410
chr1	ZFP69B	1.4603393778974354	40915773	205
chr1	ZFP69	1.1016324909098	40942886	149
chr1	EXO5	1.514023181284125	40974412	121
chr1	ZNF684	1.2804864139045953	40997232	367
chr1	RIMS3	1.3584247641991787	41086350	409
chr1	NFYC	1.5761481755593085	41157319	388
chr1	KCNQ4	1.6267679148429377	41249683	320
chr1	CITED4	2.0617660625545136	41326728	436
chr1	CTPS1	1.6355484441397128	41445006	496
chr1	SLFNL1	1.6128879261456146	41481268	58
chr1	SCMH1	1.901141775306766	41492871	1091
chr1	FOXO6	1.6600042926104364	41827593	620
chr1	EDN2	2.3700656906332105	41944445	334
chr1	HIVEP3	2.412287912774575	41972035	2353
