chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	10093040	10241296	+	10277	UBE4B	196	2.77526451E-3	DAVIES_SUCCESS
chr1	10270763	10441661	+	23095	KIF1B	417	1.31290182E-3	DAVIES_SUCCESS
chr1	10459084	10480201	+	5226	PGD	221	6.62106207E-4	DAVIES_SUCCESS
chr1	10490158	10512060	+	100526739	APITD1-CORT	216	1.52665973E-4	DAVIES_SUCCESS
chr1	10509775	10512060	+	1325	CORT	183	1.89211175E-4	DAVIES_SUCCESS
chr1	10520602	10532613	-	1676	DFFA	208	1.4065317E-4	DAVIES_SUCCESS
chr1	10535002	10690815	+	5195	PEX14	475	1.37855156E-4	DAVIES_SUCCESS
chr1	10696665	10856733	-	54897	CASZ1	436	4.19937389E-2	DAVIES_SUCCESS
chr1	11006529	11042094	-	148345	C1orf127	345	1.49009285E-1	DAVIES_SUCCESS
chr1	11072678	11085549	+	23435	TARDBP	217	1.97453044E-1	DAVIES_SUCCESS
chr1	11086579	11107296	-	10747	MASP2	184	1.57809765E-1	DAVIES_SUCCESS
chr1	11114648	11120091	-	6723	SRM	117	1.16219308E-1	DAVIES_SUCCESS
chr1	11126675	11159938	-	5394	EXOSC10	111	1.63999676E-1	DAVIES_SUCCESS
chr1	11166587	11322608	-	2475	MTOR	190	4.64113359E-1	DAVIES_SUCCESS
chr1	11203954	11209595	+	100873935	MTOR-AS1	42	2.32476148E-1	DAVIES_SUCCESS
chr1	11249345	11256038	+	10218	ANGPTL7	91	5.624922E-1	DAVIES_SUCCESS
chr1	11333254	11348491	+	29914	UBIAD1	120	5.07602055E-1	DAVIES_SUCCESS
chr1	11539294	11597640	+	57540	PTCHD2	387	6.45197947E-1	DAVIES_SUCCESS
chr1	11708417	11714888	-	26232	FBXO2	243	1.38983629E-1	DAVIES_SUCCESS
chr1	11714431	11723384	+	93611	FBXO44	261	1.6385424E-1	DAVIES_SUCCESS
chr1	11724149	11734409	+	26270	FBXO6	257	1.52258952E-1	DAVIES_SUCCESS
chr1	11734536	11751678	-	10459	MAD2L2	266	1.5016247E-1	DAVIES_SUCCESS
chr1	11751780	11780336	+	374946	DRAXIN	307	6.54748497E-3	DAVIES_SUCCESS
chr1	11796141	11810828	+	57085	AGTRAP	355	4.10793893E-4	DAVIES_SUCCESS
chr1	11845786	11866160	-	4524	MTHFR	419	1.54534472E-3	DAVIES_SUCCESS
chr1	11866152	11903201	+	1185	CLCN6	475	1.45343469E-3	DAVIES_SUCCESS
chr1	11900375	11907674	+	100379251	NPPA-AS1	337	1.69826556E-2	DAVIES_SUCCESS
chr1	11905766	11907840	-	4878	NPPA	329	1.75291552E-2	DAVIES_SUCCESS
chr1	11917520	11918992	-	4879	NPPB	327	3.12226405E-2	DAVIES_SUCCESS
chr1	11979644	11986485	-	90231	KIAA2013	299	4.10016323E-1	DAVIES_SUCCESS
chr1	11994723	12035599	+	5351	PLOD1	346	2.32503818E-1	DAVIES_SUCCESS
chr1	12040237	12073572	+	9927	MFN2	263	7.40515765E-2	DAVIES_SUCCESS
chr1	12079298	12092106	+	60672	MIIP	199	3.84740016E-2	DAVIES_SUCCESS
chr1	12123433	12204264	+	943	TNFRSF8	337	8.56554465E-3	DAVIES_SUCCESS
chr1	12227059	12269277	+	7133	TNFRSF1B	214	1.41122848E-1	DAVIES_SUCCESS
chr1	12251761	12251839	+	100616438	MIR4632	154	2.17107683E-1	DAVIES_SUCCESS
chr1	12290112	12572098	+	55187	VPS13D	385	2.63893713E-1	DAVIES_SUCCESS
chr1	12567299	12567451	+	677882	SNORA59B	148	3.51268895E-1	DAVIES_SUCCESS
chr1	12627938	12677820	-	9249	DHRS3	358	2.00992253E-1	DAVIES_SUCCESS
chr1	12704565	12727097	+	343066	AADACL4	219	3.38176161E-1	DAVIES_SUCCESS
chr1	12776117	12788726	+	126767	AADACL3	238	3.84584765E-1	DAVIES_SUCCESS
chr1	12806162	12821102	+	93190	C1orf158	209	7.86948684E-1	DAVIES_SUCCESS
chr1	12834983	12838048	+	390999	PRAMEF12	155	7.50356937E-1	DAVIES_SUCCESS
chr1	12851545	12856777	+	65121	PRAMEF1	109	8.17116472E-1	DAVIES_SUCCESS
chr1	12884467	12891264	-	440560	PRAMEF11	58	5.70130657E-1	DAVIES_SUCCESS
chr1	12907235	12908237	-	649330	LOC649330	36	4.04515203E-1	DAVIES_SUCCESS
chr1	12907260	12908578	-	343069	HNRNPCL1	36	4.04515203E-1	DAVIES_SUCCESS
chr1	12916940	12921764	+	65122	PRAMEF2	25	1.96454757E-1	DAVIES_SUCCESS
chr1	12939032	12946025	-	400735	PRAMEF4	20	1.29100275E-1	DAVIES_SUCCESS
chr1	12952726	12958094	-	343071	PRAMEF10	19	1.21556451E-1	DAVIES_SUCCESS
chr1	12976449	13611550	+	391002	PRAMEF8	37	3.53466894E-1	DAVIES_SUCCESS
chr1	12998301	13369057	-	343068	PRAMEF5	37	3.53466894E-1	DAVIES_SUCCESS
chr1	13182959	13184326	-	440563	LOC440563	37	3.53466894E-1	DAVIES_SUCCESS
chr1	13516065	13747803	+	645425	PRAMEF20	82	4.54408352E-1	DAVIES_SUCCESS
chr1	13801444	13840242	-	126755	LRRC38	384	3.94934347E-1	DAVIES_SUCCESS
chr1	13910251	13944452	+	10630	PDPN	415	3.62829235E-1	DAVIES_SUCCESS
chr1	14026734	14151574	+	7799	PRDM2	361	6.18619482E-1	DAVIES_SUCCESS
chr1	14925212	15444544	+	23254	KAZN	1809	1.02654058E-1	DAVIES_SUCCESS
chr1	15438310	15478960	-	200197	TMEM51-AS1	565	8.3641811E-3	DAVIES_SUCCESS
chr1	15479027	15546974	+	55092	TMEM51	792	6.95844594E-3	DAVIES_SUCCESS
chr1	15573767	15726778	+	114827	FHAD1	676	5.21093289E-2	DAVIES_SUCCESS
chr1	15736390	15756839	+	79180	EFHD2	234	9.12910598E-2	DAVIES_SUCCESS
chr1	15764937	15773153	+	11330	CTRC	231	1.5410172E-1	DAVIES_SUCCESS
chr1	15783222	15798586	+	63036	CELA2A	275	3.53776129E-1	DAVIES_SUCCESS
chr1	15802595	15817895	+	51032	CELA2B	280	3.61746105E-1	DAVIES_SUCCESS
chr1	15817323	15851285	-	842	CASP9	323	3.88276039E-1	DAVIES_SUCCESS
chr1	15853351	15918874	+	23341	DNAJC16	473	2.54165898E-1	DAVIES_SUCCESS
chr1	15898193	15911605	-	79814	AGMAT	332	2.12332612E-1	DAVIES_SUCCESS
chr1	15943952	15987552	+	84301	DDI2	395	1.22519427E-1	DAVIES_SUCCESS
chr1	15986363	15988217	+	6248	RSC1A1	215	9.71603797E-2	DAVIES_SUCCESS
chr1	16010826	16061264	+	23207	PLEKHM2	323	1.06476354E-1	DAVIES_SUCCESS
chr1	16062808	16067884	+	284723	SLC25A34	236	1.55780288E-1	DAVIES_SUCCESS
chr1	16068986	16074292	+	388595	TMEM82	238	1.83387729E-1	DAVIES_SUCCESS
chr1	16083153	16113084	+	54751	FBLIM1	393	1.76144082E-1	DAVIES_SUCCESS
chr1	16133656	16134194	-	440567	UQCRHL	301	1.96937215E-1	DAVIES_SUCCESS
chr1	16160709	16174642	-	729614	FLJ37453	315	9.89226432E-2	DAVIES_SUCCESS
chr1	16174358	16266950	+	23013	SPEN	429	7.44250146E-2	DAVIES_SUCCESS
chr1	16268363	16302627	-	7709	ZBTB17	339	7.71283714E-2	DAVIES_SUCCESS
chr1	16330730	16333184	+	149563	C1orf64	463	8.20295668E-2	DAVIES_SUCCESS
chr1	16340522	16346089	-	27129	HSPB7	498	7.55710181E-2	DAVIES_SUCCESS
chr1	16345369	16360545	+	1187	CLCNKA	517	7.22565885E-2	DAVIES_SUCCESS
chr1	16355620	16383821	+	1188	CLCNKB	608	3.11650098E-2	DAVIES_SUCCESS
chr1	16384263	16400127	-	348487	FAM131C	507	2.66774837E-2	DAVIES_SUCCESS
chr1	16450831	16482582	-	1969	EPHA2	317	1.25116569E-2	DAVIES_SUCCESS
chr1	16524598	16539104	-	128272	ARHGEF19	242	8.075529E-2	DAVIES_SUCCESS
chr1	16558181	16563659	-	79363	RSG1	234	2.35481456E-1	DAVIES_SUCCESS
chr1	16576558	16678948	-	54455	FBXO42	374	4.02709896E-1	DAVIES_SUCCESS
chr1	16693524	16724643	+	26099	SZRD1	264	3.62213792E-1	DAVIES_SUCCESS
chr1	16722175	16763919	-	374955	SPATA21	307	5.04641037E-1	DAVIES_SUCCESS
chr1	16767166	16786584	+	55707	NECAP2	273	5.27713388E-1	DAVIES_SUCCESS
chr1	16793930	16819196	-	114819	CROCCP3	231	6.45464136E-1	DAVIES_SUCCESS
chr1	16875408	17185516	+	100500876	MIR3675	74	4.92048013E-1	DAVIES_SUCCESS
chr1	16888921	16940100	-	55672	NBPF1	38	4.23853764E-1	DAVIES_SUCCESS
chr1	16944750	16971178	-	84809	CROCCP2	5	2.20758156E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16972068	16976915	+	11209	MST1P2	7	2.29006553E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17017712	17046652	-	284729	ESPNP	7	2.29006553E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17066767	17299474	+	9696	CROCC	144	8.16197145E-1	DAVIES_SUCCESS
chr1	17300998	17308081	-	4237	MFAP2	155	7.58700577E-1	DAVIES_SUCCESS
chr1	17312452	17338423	-	23400	ATP13A2	232	2.99722273E-1	DAVIES_SUCCESS
chr1	17345224	17380665	-	6390	SDHB	398	1.15343625E-1	DAVIES_SUCCESS
chr1	17393255	17445948	-	11240	PADI2	470	3.62325223E-2	DAVIES_SUCCESS
chr1	17531620	17572501	+	29943	PADI1	488	3.27822871E-1	DAVIES_SUCCESS
chr1	17575592	17610727	+	51702	PADI3	506	3.4255512E-1	DAVIES_SUCCESS
chr1	17634689	17690495	+	23569	PADI4	608	3.93159081E-1	DAVIES_SUCCESS
chr1	17698740	17728195	+	353238	PADI6	439	3.65650194E-1	DAVIES_SUCCESS
chr1	17733250	17766250	-	55920	RCC2	375	4.5161603E-1	DAVIES_SUCCESS
chr1	17846826	18024370	+	55160	ARHGEF10L	459	7.34179205E-1	DAVIES_SUCCESS
chr1	18081807	18153558	+	81569	ACTL8	349	4.60751079E-1	DAVIES_SUCCESS
chr1	18434239	18704977	+	84966	IGSF21	986	4.5626582E-1	DAVIES_SUCCESS
chr1	18807423	18812480	+	127707	KLHDC7A	339	7.30251284E-3	DAVIES_SUCCESS
chr1	18957499	19075360	+	5081	PAX7	527	1.0428014E-1	DAVIES_SUCCESS
chr1	19166092	19186155	-	80834	TAS1R2	438	3.08456069E-1	DAVIES_SUCCESS
chr1	19197923	19229293	-	8659	ALDH4A1	441	7.94583412E-1	DAVIES_SUCCESS
chr1	19209695	19209769	-	100616120	MIR4695	325	9.1557399E-1	DAVIES_SUCCESS
chr1	19230773	19282826	-	126917	IFFO2	502	9.24521599E-1	DAVIES_SUCCESS
chr1	19400999	19536746	-	23352	UBR4	454	9.95688079E-1	DAVIES_SUCCESS
chr1	19542157	19578053	-	23065	EMC1	259	8.91436255E-1	DAVIES_SUCCESS
chr1	19578074	19586622	+	51154	MRTO4	226	8.35300586E-1	DAVIES_SUCCESS
chr1	19592475	19600568	-	246181	AKR7L	265	7.75906589E-1	DAVIES_SUCCESS
chr1	19609056	19615280	-	22977	AKR7A3	281	7.06140995E-1	DAVIES_SUCCESS
chr1	19619740	19622230	-	100506730	LOC100506730	267	6.65051774E-1	DAVIES_SUCCESS
chr1	19629201	19638640	-	8574	AKR7A2	290	5.55702869E-1	DAVIES_SUCCESS
chr1	19638739	19658922	+	54896	PQLC2	283	3.56502997E-1	DAVIES_SUCCESS
chr1	19665266	19812066	-	832	CAPZB	658	3.88542725E-2	DAVIES_SUCCESS
chr1	19923470	19984949	+	100532736	MINOS1-NBL1	440	4.57463567E-1	DAVIES_SUCCESS
chr1	19934300	19935138	+	644068	RPS14P3	254	3.74886875E-1	DAVIES_SUCCESS
chr1	19969722	19984949	+	4681	NBL1	280	6.03599948E-1	DAVIES_SUCCESS
chr1	19991779	20006055	+	3362	HTR6	274	6.85891757E-1	DAVIES_SUCCESS
chr1	20008705	20126758	-	255104	TMCO4	531	8.64305984E-1	DAVIES_SUCCESS
chr1	20140521	20141771	-	54546	RNF186	278	7.95022252E-1	DAVIES_SUCCESS
chr1	20208887	20239437	+	23252	OTUD3	324	6.92827367E-1	DAVIES_SUCCESS
chr1	20246799	20250110	-	30814	PLA2G2E	243	7.0833752E-1	DAVIES_SUCCESS
chr1	20301923	20306932	-	5320	PLA2G2A	270	6.1719219E-1	DAVIES_SUCCESS
chr1	20354671	20418394	+	5322	PLA2G5	392	7.66877761E-1	DAVIES_SUCCESS
chr1	20439142	20446059	-	26279	PLA2G2D	232	8.79341302E-1	DAVIES_SUCCESS
chr1	20465822	20476879	+	64600	PLA2G2F	188	6.72070694E-1	DAVIES_SUCCESS
chr1	20490483	20501687	-	391013	PLA2G2C	168	6.69359037E-1	DAVIES_SUCCESS
chr1	20512577	20519942	+	127733	UBXN10	169	3.70277525E-1	DAVIES_SUCCESS
chr1	20617411	20681387	+	127731	VWA5B1	507	3.80982052E-1	DAVIES_SUCCESS
chr1	20686293	20755287	-	339505	LOC339505	361	6.30564429E-1	DAVIES_SUCCESS
chr1	20808883	20812728	-	55450	CAMK2N1	170	5.69695753E-1	DAVIES_SUCCESS
chr1	20825940	20834674	-	79594	MUL1	218	5.55496393E-1	DAVIES_SUCCESS
chr1	20878931	20881513	+	163933	FAM43B	371	1.98755744E-1	DAVIES_SUCCESS
chr1	20915443	20945400	+	978	CDA	550	1.58015372E-1	DAVIES_SUCCESS
chr1	20959947	20978004	+	65018	PINK1	408	1.32909547E-1	DAVIES_SUCCESS
chr1	20978259	20988037	-	1650	DDOST	373	1.68338193E-1	DAVIES_SUCCESS
chr1	20990506	21044317	-	57576	KIF17	425	3.25249139E-1	DAVIES_SUCCESS
